sgRNA,Gene,cont1,cont2,cont3,gemc1,gemc2,gemc3
PARG-sg13,PARG,235.7915784,303.8902537,329.4849847,104.4864264,5.44893606,208.2897483
sgCTRL_73,CTRL,743.2150551,562.2703727,240.576338,3658.766364,239.7531866,83.61997195
RNF168-sg11,RNF168,0,0,244.4987783,148.0224374,234.3042506,817.955362
MEAF6-sg5,MEAF6,224.4735826,754.5873932,89.56238672,151.5053183,0,203.7286589
PHF10-sg4,PHF10,47.15831568,0,17.65098132,0.87072022,0,0
sgCTRL_134,CTRL,269.7455657,1.468068858,349.7509262,300.3984759,0,1707.367791
BRWD1-sg9,BRWD1,1003.528958,505.0156873,3.268700245,317.8128803,0,0
BAZ1B-sg4,BAZ1B,45.27198305,252.5078436,28.11082211,141.9273959,0,357.2853347
MSL3-sg1,MSL3,977.1203009,403.718936,377.8617483,99.26210508,286.0691432,1807.711757
SMARCA2-sg7,SMARCA2,948.8253115,1148.029847,479.845196,3125.88559,0,1181.322149
SUV420H1-sg11,SUV420H1,0,38.16979032,14.38228108,728.7928241,296.9670153,141.3937707
SHPRH-sg1,SHPRH,54.70364619,33.76558374,58.18286436,0,670.2191354,0
FIZ1-sg5,FIZ1,152.7929428,292.1457028,45.10806338,418.8164258,0,0
RPA3-sg6,RPA3,267.8592331,1.468068858,0,0,0,535.1678205
DNMT3A-sg5,DNMT3A,149.0202776,1.468068858,135.3241901,0,0,153.5566758
TDRD5-sg3,TDRD5,816.7820276,510.8879627,313.1414835,0,3329.299933,0
RC3H1-sg10,RC3H1,379.1528581,289.2095651,804.1002603,97.52066464,0,296.4708096
TRIM24-sg11,TRIM24,126.384286,600.4401631,40.53188304,481.5082816,0,118.5883239
PHRF1-sg8,PHRF1,971.461303,192.3170204,0.653740049,0,299.6914833,0
MBD2-sg11,MBD2,98.08929662,993.8826171,45.10806338,231.6115785,10.89787212,437.8645804
EZH2-sg1,EZH2,105.6346271,259.8481879,0,89.68418266,0,258.4617315
MEN1-sg7,MEN1,82.9986356,374.3575589,130.0942698,0,0,231.0951952
INO80-sg2,INO80,41.4993178,0,27.45708206,0,0,3.040726253
CHD2-sg8,CHD2,0,0,15.03602113,0,0,152.0363126
SATB1-sg9,SATB1,0,77.80764949,5040.989518,519.8199713,0,682.6430437
UBR1-sg3,UBR1,339.5398729,229.0187419,551.1028613,0,0,85.14033507
ING1-sg2,ING1,156.5656081,142.4026793,22.88090172,1492.414457,0,138.3530445
SAP30L-sg8,SAP30L,186.7469301,2300.463901,1229.685032,815.8648461,0,174.8417595
NCOR1-sg7,NCOR1,831.8726886,0,88.90864667,0,0,0
TFPT-sg13,TFPT,667.7617501,913.1388299,490.9587768,42.66529078,356.9053119,129.2308657
APOBEC2-sg11,APOBEC2,2437.141754,52.8504789,291.5680619,567.7095834,2.72446803,0
PRKAA2-sg2,PRKAA2,16.97699365,433.0803132,946.615591,89.68418266,242.4776547,0
BRD7-sg9,BRD7,398.0161844,45.51013461,39.22440294,546.8122981,138.9478695,0
JHDM1D-sg5,JHDM1D,196.1785932,95.42447579,150.3602113,287.3376726,0,352.7242453
CDCA7L-sg5,CDCA7L,188.6332627,76.33958063,0,0,0,0
MDC1-sg4,MDC1,77.33963772,710.5453274,0,16.54368418,0,0
BRDT-sg3,BRDT,116.9526229,399.3147295,132.70923,400.5313012,0,1.520363126
BRCA1-sg8,BRCA1,548.9227945,874.9690396,219.0029164,277.7597502,0,1100.742903
ELP3-sg9,ELP3,514.9688072,0,43.14684324,0,0,509.3216473
USF2-sg4,USF2,216.9282521,66.06309863,24.84212186,540.7172566,0,0
MSH6-sg2,MSH6,139.5886144,408.1231426,286.3381415,194.1706091,158.0191457,897.0142445
PCNA-sg8,PCNA,0,0,42.49310319,67.91617716,0,76.01815632
DNMT3B-sg13,DNMT3B,1163.867231,389.0382475,130.0942698,0,356.9053119,0
HJURP-sg6,HJURP,9476.935119,68.99923634,190.8920943,0,0,16.72399439
BAZ1B-sg9,BAZ1B,673.4207479,709.0772586,389.6290692,366.5732126,945.3904064,1565.97402
ACTL6A-sg8,ACTL6A,49.04464831,0,7.844880588,171.5318833,0,179.4028489
TRIM13-sg11,TRIM13,226.3599153,324.4432177,49.68424373,238.5773403,2086.942511,0
RNF217-sg9,RNF217,1205.366549,67.53116748,67.9889651,164.5661216,0,124.6697764
SIRT7-sg9,SIRT7,765.8510467,656.2267797,1385.928904,157.6003598,542.169138,591.4212561
SIRT7-sg5,SIRT7,1295.910515,0,0,0,0,1094.661451
ALKBH3-sg3,ALKBH3,980.8929662,722.2898783,145.1302909,0,212.5085063,776.9055576
KDM2B-sg6,KDM2B,67.90797458,0,0,4291.779964,0,415.0591335
SUPT7L-sg9,SUPT7L,1.886332627,0,52.29920392,1367.901466,0,199.1675695
TRIM33-sg11,TRIM33,262.2002352,17.6168263,120.288169,250.7674234,0,0
ZCWPW1-sg5,ZCWPW1,0,80.74378721,0,169.7904429,0,0
PARP3-sg6,PARP3,67.90797458,554.9300285,0,0,0,2931.260108
CTSL1-sg12,CTSL1,775.2827098,657.6948485,405.9725704,2407.541408,0,507.8012842
PARP11-sg13,PARP11,341.4262055,0,213.119256,80.97698046,0,962.389859
KAT6B-sg2,KAT6B,339.5398729,750.1831866,3211.824861,95.7792242,0,4.561089379
PRDM2-sg8,PRDM2,232.0189132,38.16979032,634.7815876,0.87072022,0,0
WNT5A-sg13,WNT5A,797.9187013,230.4868108,248.4212186,450.1623537,2.72446803,0
CCR7-sg5,CCR7,405.5615149,211.4019156,771.4132578,0,751.9531763,0
BUB3-sg12,BUB3,0,0,0,0,0,235.6562846
CXXC1-sg6,CXXC1,0,184.9766762,0,0,0,0
UHRF1-sg6,UHRF1,0,58.72275433,1625.197762,249.8967031,0,0
JMJD4-sg11,JMJD4,784.7143729,0,198.0832349,379.6340159,0,24.32581002
SMARCD3-sg10,SMARCD3,103.7482945,0,0,1589.935122,5.44893606,0
MIS18A-sg6,MIS18A,0,0,0,0,0,0
USP7-sg5,USP7,0,162.9556433,17.65098132,0,0,0
BAZ2A-sg6,BAZ2A,3540.646341,1845.362555,8531.96138,0,0,688.7244962
HDAC7-sg7,HDAC7,777.1690424,0,21.57342162,0,0,0
PRKDC-sg1,PRKDC,0,369.9533523,0,0,0,0
CBX7-sg9,CBX7,237.677911,0,313.7952235,0,0,1071.856004
GADD45A-sg4,GADD45A,1456.248788,487.398861,232.0777174,0,158.0191457,770.824105
FOXA1-sg5,FOXA1,2827.612608,82.21185607,66.681485,106.2278668,1724.588263,583.8194405
SMARCA4-sg1,SMARCA4,912.9849916,1148.029847,294.1830221,59.20897496,798.2691328,811.8739095
PARP2-sg10,PARP2,233.9052458,287.7414962,225.5403169,437.1015504,370.5276521,386.1722341
sgCTRL_405,CTRL,94.31663136,117.4455087,186.969654,72.26977826,65.38723272,159.6381283
sgCTRL_166,CTRL,501.7644789,1457.792376,15.68976118,232.4822987,220.6819104,188.5250277
HDAC5-sg11,HDAC5,1084.641261,1468.068858,1557.862537,1234.681272,1002.604235,0
PYGO2-sg13,PYGO2,279.1772288,0,132.70923,218.5507752,0,586.8601668
AKAP1-sg2,AKAP1,118.8389555,99.82868237,428.8534722,0,0,0
ATXN7L3-sg4,ATXN7L3,150.9066102,748.7151178,45.10806338,111.4521882,0,1347.04173
UBA1-sg13,UBA1,3416.148388,431.6122444,57.52912431,212.4557337,0,2643.911477
BAHD1-sg11,BAHD1,150.9066102,1.468068858,65.3740049,417.0749854,0,0
SLK-sg1,SLK,184.8605975,0,353.0196265,107.0985871,160.7436138,0
PRDM15-sg8,PRDM15,243.3369089,921.947243,67.33522505,0,0,481.955111
RING1-sg6,RING1,1248.752199,858.8202821,579.2136834,906.419749,779.1978566,478.9143848
SMARCA2-sg5,SMARCA2,482.9011526,1481.281478,262.8034997,359.6074509,0,0
LRWD1-sg10,LRWD1,3433.125382,1995.105578,351.0584063,0,0,45.61089379
INO80D-sg8,INO80D,1.886332627,17.6168263,1.961220147,0,0,226.5341058
FKBP1A-sg1,FKBP1A,1601.496401,303.8902537,1450.649169,15860.16881,0,498.6791054
CDK5-sg9,CDK5,0,0,18.95846142,0,0,0
PADI4-sg7,PADI4,79.22597035,0,114.4045086,106.2278668,0,2514.680611
FLYWCH1-sg12,FLYWCH1,92.43029874,11.74455087,585.7510839,293.4327141,0,0
RUVBL2-sg9,RUVBL2,439.5155022,204.0615713,30.07204225,0,2.72446803,1.520363126
UBE2A-sg7,UBE2A,152.7929428,579.887199,5.229920392,50.50177276,5.44893606,66.89597756
BAZ2B-sg2,BAZ2B,186.7469301,234.8910173,149.0527312,884.6517435,0,2186.282176
PARG-sg12,PARG,343.3125382,0,27.45708206,0,0,0
ARID1B-sg2,ARID1B,1695.813032,612.1847139,0,114.0643488,0,1655.675445
CHD4-sg12,CHD4,69.79430721,55.78661662,68.64270515,0,999.8797671,0
SMYD5-sg4,SMYD5,496.105481,1501.834442,2035.092773,457.9988357,138.9478695,942.6251383
EP300-sg7,EP300,680.9660784,79.27571835,2382.882479,304.752077,0,0
