gene_id,MPANC_CON-DMSO-1_S1,MPANC_CON-DMSO-2_S2,MPANC_CON-Gem-1_S3,MPANC_CON-Gem-2_S4,MPANC_KO-DMSO-1_S9,MPANC_KO-DMSO-2_S10,MPANC_KO-Gem-1_S11,MPANC_KO-Gem-2_S12,PANC1_CON-DMSO-1_S1,PANC1_CON-DMSO-2_S2,PANC1_CON-Gem-1_S3,PANC1_CON-Gem-2_S4,PANC1_KO-DMSO-1_S9,PANC1_KO-DMSO-2_S10,PANC1_KO-Gem-1_S11,PANC1_KO-Gem-2_S12
ENSG00000242268.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188026.12,211,242,327,238,331,346,309,323,310,400,391,383,194,176,133,174
ENSG00000270112.3,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0
ENSG00000280143.1,313,296,265,333,296,333,252,312,207,195,266,266,327,357,362,145
ENSG00000269416.5,6,4,18,21,29,23,82,87,164,192,196,155,59,88,132,139
ENSG00000263642.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000078237.6,106,131,96,99,73,95,54,83,317,374,360,347,79,92,99,95
ENSG00000158486.13,38,46,39,39,150,162,170,114,0,3,4,0,172,163,209,191
ENSG00000283967.1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ENSG00000198242.13,4747,4238,3942,3945,4249,4113,3919,4737,4710,4792,4285,5014,3297,3266,3171,3606
ENSG00000273639.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231981.3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000134108.12,591,574,472,495,605,685,544,468,719,582,540,712,427,432,407,328
ENSG00000263089.1,28,21,22,24,17,19,19,12,6,2,4,2,45,36,22,24
ENSG00000276644.4,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0
ENSG00000240423.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271616.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234881.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236040.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231105.1,11,9,19,13,11,9,8,9,10,4,5,8,7,5,5,8
ENSG00000094963.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167578.17,258,180,198,166,281,269,184,227,142,181,173,215,177,189,132,114
ENSG00000251334.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000231112.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276332.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264981.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275265.1,0,1,0,0,2,1,0,3,1,2,0,0,0,2,2,0
ENSG00000197557.6,376,390,325,292,441,504,354,339,178,188,148,180,357,367,247,245
ENSG00000233540.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ENSG00000102174.8,4,5,4,5,7,12,6,15,2,7,12,4,7,2,7,7
ENSG00000277224.2,3,5,5,6,6,7,4,3,17,13,12,9,7,11,9,12
ENSG00000166391.14,16,15,15,13,8,4,23,15,2,0,0,2,42,24,24,39
ENSG00000232001.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278616.1,133,99,98,99,84,86,78,48,29,44,23,21,74,82,49,54
ENSG00000225275.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000070087.13,639,947,896,842,734,781,809,908,1639,5797,5177,5611,406,374,369,583
ENSG00000204946.9,683,613,670,648,767,935,563,556,421,442,445,411,576,437,408,381
ENSG00000279700.1,7,7,11,5,14,12,7,7,9,4,6,3,9,10,7,7
ENSG00000280038.1,7,4,7,7,8,9,6,6,10,6,8,8,5,4,5,7
ENSG00000153561.12,4664,5398,4615,4427,4586,5333,4575,3910,2017,2237,1973,1767,4592,4776,4364,4668
ENSG00000251538.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269148.1,5,3,6,3,3,3,5,0,3,4,4,0,5,4,5,4
ENSG00000274458.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235411.1,7,8,6,8,6,5,7,11,8,7,6,7,10,5,13,16
ENSG00000179262.9,2322,2095,2352,2127,2372,2408,2290,2793,1761,1999,1687,1951,1631,1624,1704,1697
ENSG00000251044.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000104833.11,138,115,90,117,72,75,59,75,194,233,257,246,33,28,42,35
ENSG00000166368.2,0,0,0,0,0,2,1,2,0,0,0,0,0,1,0,1
ENSG00000206072.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000006695.10,846,827,788,779,781,757,804,746,371,392,329,322,517,511,660,711
ENSG00000258630.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277903.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000226753.1,1,1,1,1,1,0,0,2,1,1,0,0,1,1,1,1
ENSG00000254645.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000214062.5,0,0,1,1,1,1,2,4,3,1,3,1,2,3,1,0
ENSG00000095587.8,3,4,3,4,8,2,3,9,0,4,7,10,0,2,7,6
ENSG00000167700.8,1117,897,849,805,1200,1343,933,1207,130,161,126,159,558,593,485,486
ENSG00000274219.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000269113.3,0,2,4,3,103,97,70,67,0,0,0,0,0,0,0,0
ENSG00000064601.17,11015,9429,8159,8336,9182,9596,8642,9359,3283,3899,3186,3419,9320,8975,7815,8575
ENSG00000187475.5,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,3
ENSG00000008517.16,63,57,104,106,48,40,62,88,125,195,127,192,37,29,152,150
ENSG00000172137.18,919,791,793,846,573,591,666,739,2,2,0,0,466,507,520,506
ENSG00000229637.3,3,7,0,2,3,0,0,2,0,2,2,2,1,2,2,3
ENSG00000266644.1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000236893.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ENSG00000101292.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000070081.16,746,809,686,626,733,747,718,809,1391,1504,1420,1425,782,783,730,864
ENSG00000088179.8,1060,1267,1113,1162,1181,1435,1082,886,905,983,989,781,1150,1027,1123,1189
ENSG00000166634.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000275479.1,2,3,3,3,6,4,2,4,3,2,5,4,1,2,1,2
ENSG00000112309.10,34,161,31,136,53,41,147,151,65,232,180,74,15,30,29,175
ENSG00000199812.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000261789.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254092.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000158480.10,1086,1016,1003,985,935,966,913,912,386,469,367,359,861,850,898,1019
ENSG00000197421.9,9,12,3,13,9,9,12,8,0,0,0,0,7,11,12,23
ENSG00000280171.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260900.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000203909.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000196167.9,7,10,6,7,7,15,6,2,0,0,0,4,18,19,18,16
ENSG00000275592.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000200288.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207000.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ENSG00000270542.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000118972.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ENSG00000264104.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000179833.4,2292,2265,2151,2114,2757,3133,2989,2627,1348,1406,1296,1202,2729,2702,3482,3635
ENSG00000165312.6,1209,1318,1409,1374,764,868,704,831,108,110,115,112,718,721,644,726
ENSG00000159618.15,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2
ENSG00000064225.12,5,1,12,7,10,13,15,10,0,2,6,5,12,11,13,12
ENSG00000226530.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000252628.2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
ENSG00000134709.10,196,435,383,184,505,551,385,146,7,6,8,6,111,121,70,80
ENSG00000057294.14,2093,2100,1879,1883,1422,1498,1252,1118,41,39,39,40,2164,2205,1712,1707
ENSG00000213988.10,0,0,0,0,0,0,0,0,112,174,220,143,0,0,0,1
ENSG00000171861.10,925,774,758,631,931,827,873,1031,319,327,272,365,565,584,588,579
ENSG00000278923.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167768.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280159.1,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0
ENSG00000235240.1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1
ENSG00000273406.1,1,1,1,0,0,1,1,1,2,0,1,1,1,1,0,1
ENSG00000199903.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000200058.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000177981.10,561,554,454,441,460,447,460,405,482,466,449,479,572,529,479,493
ENSG00000275358.1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
ENSG00000279936.1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
ENSG00000269349.1,0,0,0,0,0,0,0,0,0,0,2,1,0,3,2,2
ENSG00000200291.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233614.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000259659.1,3,2,3,2,6,8,7,7,5,6,4,5,7,4,8,6
