,A549 TP53-/-,,,A549 TP53 WT,,,LXF289 DOX-IC25,,,LXF289 DOX-IC50,,
Gene,time 9,time 12,time 15,time 9,time 12,time 15,time 5,time 10,time 15,time 5,time 10,time 15
A1BG,0.24838,-0.26098,0.099242,0.35132,-0.025552,-0.01677,-0.07502,-0.073809,-0.22727,0.051521,0.041967,-0.069046
A1CF,-0.006276,0.0038166,-0.002651,-0.25883,0.07213,0.060406,-0.0064161,-0.084975,0.057137,-0.1384,-0.14075,0.1142
A2M,0.12738,-0.1451,-0.12855,0.19655,0.072992,-0.012698,0.084314,0.28355,-0.013266,-0.15669,0.0010223,-0.51692
A2ML1,-0.0030069,-0.039999,-0.064889,0.13849,0.11629,0.07048,-0.1096,-0.022392,0.2551,-0.19769,0.051254,0.24108
A3GALT2,0.053172,0.16654,0.089998,0.23265,0.03627,0.29674,-0.089243,-0.023538,-0.17148,-0.1837,-0.069794,-0.13972
A4GALT,0.12626,0.22337,0.41143,-0.036876,-0.31352,-0.50471,-0.22779,0.10711,0.15743,-0.028476,-0.01239,-0.2166
A4GNT,-0.076745,0.14238,-0.24434,-0.073255,0.14613,-0.052216,0.0078288,0.2541,0.28358,-0.057654,0.10609,0.15515
AAAS,0.079229,0.029306,-0.095838,0.253,-0.087688,-0.14106,-0.011844,-0.34891,0.011074,-0.095835,-0.25964,-0.14949
AACS,0.25882,0.017451,0.054099,0.084077,0.34883,-0.63024,0.024298,-0.090265,0.23925,0.0038947,-0.030683,0.0038235
AADAC,-0.35615,0.18088,0.045535,0.026836,-0.06639,-0.14838,-0.00633,-0.20585,-0.10809,0.038769,-0.076992,-0.21247
AADACL2,0.18469,0.24054,-0.011628,0.36454,0.29941,0.26403,0.11106,-0.19775,0.00032837,0.14933,-0.13166,-0.002977
AADACL3,0.33315,0.042617,0.33538,0.61634,0.034908,0.37943,-0.15158,0.023522,0.07911,0.038248,0.089326,0.1124
AADACL4,-0.05128,0.014876,-0.11053,0.44001,0.27848,0.54322,0.070176,-0.2078,0.24898,0.032698,0.10494,0.29044
AADAT,-0.26669,-0.36299,0.3056,0.12382,0.12764,0.19713,0.10705,0.031185,0.39818,0.26261,0.011092,0.09513
AAED1,0.088933,0.11514,0.31101,0.072267,-0.28991,-0.19106,0.12238,-0.23343,0.19187,0.04402,-0.19395,0.10369
AAGAB,0.3164,-0.23041,-0.37078,0.12598,-0.28548,-0.4667,-0.18088,-0.17363,-0.077743,0.11089,0.033894,-0.070578
AAK1,-0.17365,-0.36937,-0.39636,0.44861,-0.057356,-0.87769,-0.043235,0.043243,-0.20783,0.11381,0.22397,0.0145
AAMDC,0.36971,0.07847,0.082201,0.074886,-0.21707,-0.12826,-0.039231,-0.11384,0.21171,0.018239,-0.013145,-0.13886
AAMP,0.3027,-0.15135,0.49798,0.52541,0.50466,-0.4034,0.02481,-0.14353,0.08226,0.026576,-0.097778,-0.1481
AANAT,0.20635,0.32665,0.4537,-0.05234,0.14691,-0.11788,-0.0085752,-0.021065,-0.050363,0.064407,-0.058468,0.064147
AAR2,0.030732,-0.036743,-0.10267,0.32185,-0.013477,0.28568,0.05597,-0.097624,-0.20787,0.067,0.034372,-0.01949
AARD,0.034665,-0.53971,0.85358,-0.14371,0.16055,0.095996,-0.048059,0.16376,0.14618,-0.19339,-0.070036,-0.41082
AARS,-0.22127,-0.31036,0.011816,0.88148,0.16831,0.4205,0.036478,-0.13361,-0.1176,0.057079,0.14032,-0.36015
AARS2,0.21784,0.28797,0.48834,-0.29699,-0.26982,0.42367,-0.09325,-0.13608,-0.34577,-0.22238,-0.17689,-0.40258
AARSD1,0.16907,0.15218,0.36727,0.39475,0.13624,-0.40136,-0.12771,-0.1226,-0.16749,-0.26281,0.092219,-0.12578
AASDH,-0.15678,0.22352,0.23412,0.10549,0.57162,-0.22672,0.13194,-0.01371,0.075911,0.014257,-0.10595,-0.097223
AASDHPPT,0.088324,0.6335,0.3721,0.6286,-0.041944,-0.13548,0.13823,0.17184,-0.16091,-0.054336,0.036234,-0.36464
AASS,-0.0040153,-0.22805,-0.42277,0.085243,-0.113,0.058168,0.19649,-0.24812,-0.076509,-0.082803,-0.086916,-0.060982
AATF,0.20941,0.21356,1.0287,0.4759,0.25509,0.14531,-0.014756,0.061922,0.20588,0.055161,0.16289,0.097677
AATK,0.20512,0.23173,-0.30864,0.67045,0.050864,-0.15635,-0.083668,0.14663,0.0003522,-0.046809,-0.045003,-0.13335
ABAT,0.23501,0.35409,0.51426,0.2414,-0.23386,0.066536,-0.077571,0.063115,0.26702,-0.16196,0.26224,0.079436
ABCA1,-0.09667,0.66855,0.20451,0.23586,-0.34489,-0.31737,-0.066598,0.078459,0.24742,-0.1399,0.076028,0.19013
ABCA2,0.13181,0.12123,0.77924,0.61509,0.10672,0.25426,-0.060115,-0.17723,-0.090514,0.060092,-0.030147,-0.07626
ABCA3,-0.30763,0.20961,-0.41471,0.20782,0.15605,0.22756,0.044356,-0.037892,0.21982,0.098401,-0.047429,0.067147
ABCA4,-0.13225,0.57385,-0.035746,0.47521,0.55779,0.31229,-0.16671,-0.11222,-0.12933,0.12455,0.46756,0.08268
ABCA5,0.3344,-0.29666,0.67369,0.31517,-0.468,0.045861,0.086547,0.030184,0.049291,-0.11597,0.12105,-0.11916
ABCA6,0.072114,0.31591,0.187,0.045189,0.14178,0.39313,0.00087296,0.12592,0.10907,0.14241,0.15288,0.19947
ABCA7,0.11913,-0.1426,-0.24764,0.40645,0.02192,0.11186,-0.10629,0.030234,-0.045262,0.0097712,-0.13815,-0.12658
ABCA8,0.30567,0.10827,-0.16473,0.34158,0.43603,0.15998,0.13822,0.14001,-0.18961,-0.093799,0.18363,-0.16014
