id,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
KEAP1,2.87e-10,2.59e-07,0.002475,1,3,10.566
C19orf43,9.42e-07,2.85e-06,0.018152,2,3,8.7163
PIGA,2.12e-05,7.56e-05,0.294554,3,2,4.5552
BBC3,2.24e-05,8e-05,0.294554,4,4,7.5085
PRKCSH,2.64e-05,9.25e-05,0.294554,5,2,1.8063
NTN1,3.62e-05,0.00012926,0.3529,6,4,6.1809
UBALD1,8.37e-05,0.00032095,0.721163,7,3,7.3436
G6PC,9.29e-05,0.00035255,0.721163,8,3,7.3963
EIF2AK1,0.00011096,0.00042042,0.721163,9,4,7.2147
OGT,0.00011148,0.00042249,0.721163,10,3,6.1563
MANEA,0.00011893,0.00046135,0.721163,11,4,5.0077
CCR3,0.00013199,0.00051316,0.721163,12,3,3.6361
CASKIN1,0.00014767,0.00056755,0.721163,13,4,5.0878
NACA2,0.00018478,0.00070485,0.721163,14,2,1.6709
B9D1,0.00019334,0.00073179,0.721163,15,4,4.7799
E2F4,0.00019965,0.00075821,0.721163,16,4,4.7591
ATF4,0.00022899,0.00085923,0.721163,17,4,6.8709
LOC729159,0.00023053,0.00086752,0.721163,18,3,6.412
YPEL3,0.00023757,0.00089084,0.721163,19,2,-0.038753
FAIM,0.00025324,0.00094005,0.721163,20,4,6.6405
PHLDA1,0.0002587,0.00095974,0.721163,21,3,6.1066
DNASE2,0.00026146,0.0009758,0.721163,22,3,5.9391
KIF9,0.00029036,0.0010763,0.721163,23,2,0.53543
RPL7L1,0.00031148,0.0011473,0.721163,24,3,3.7477
ZNF134,0.0003182,0.0011727,0.721163,25,4,4.3282
GNB1L,0.00034314,0.0012633,0.721163,26,1,-0.94202
CCSAP,0.00034505,0.0012696,0.721163,27,4,4.8329
TECPR2,0.00036013,0.0013255,0.721163,28,4,4.5827
SYNRG,0.00036187,0.0013353,0.721163,29,4,6.8284
