id,d7_chemo__d7_control||num,d7_chemo__d7_control||neg|p-value,d7_chemo__d7_control||neg|fdr,d7_chemo__d7_control||neg|rank,d7_chemo__d7_control||neg|goodsgrna,d7_chemo__d7_control||pos|p-value,d7_chemo__d7_control||pos|fdr,d7_chemo__d7_control||pos|rank,d7_chemo__d7_control||pos|goodsgrna,d7_chemo__d7_control||log2FoldChange
TRMT12,3,0.29732,0.996322,6050,1,5.3276e-06,0.113861,1,2,9.1497
C11orf16,1,0.99868,0.999829,21344,0,0.0013627,0.956958,68,1,9.0236
FAM208B,1,0.99693,0.999632,21312,0,0.0030884,0.956958,152,1,8.8196
APOBR,1,0.996,0.999471,21297,0,0.0039862,0.956958,196,1,8.7494
WFDC13,1,0.99597,0.999471,21296,0,0.004027,0.956958,197,1,8.7472
ARHGDIG,1,0.99563,0.999463,21285,0,0.0043387,0.956958,219,1,8.7226
MYH9,2,0.99986,0.999904,21369,0,0.00028839,0.880481,10,2,8.7127
MISP,1,0.99513,0.999463,21276,0,0.0048349,0.956958,245,1,8.664
RBMY1J,1,0.99492,0.999463,21271,0,0.0050448,0.966452,256,1,8.6415
AMH,3,0.36741,0.996322,7300,1,0.00026615,0.880481,4,2,8.5893
TEKT3,2,0.99975,0.999904,21367,0,0.00051261,0.956958,13,2,8.5594
HOXC11,1,0.99401,0.999457,21251,0,0.0059759,0.970617,304,1,8.5505
TRIM64C,1,0.99397,0.999457,21248,0,0.0060204,0.970617,308,1,8.5492
CABP5,1,0.99378,0.999457,21247,0,0.0062141,0.970617,311,1,8.5377
PGBD2,1,0.99359,0.999457,21243,0,0.0063855,0.970617,319,1,8.5287
TSPY8,1,0.99359,0.999457,21244,0,0.0063855,0.970617,320,1,8.5287
OR2AP1,3,0.81311,0.996322,17385,0,0.00041764,0.892574,9,2,8.5014
SLA,1,0.99162,0.999377,21206,0,0.0083243,0.970617,419,1,8.4709
SPATA31A3,1,0.99102,0.99926,21194,0,0.0089135,0.970617,447,1,8.452
KRTAP10-2,2,0.9999,0.999904,21372,0,0.00018925,0.880481,5,2,8.4369
HCRT,3,0.15183,0.982693,2835,1,0.0008596,0.956958,14,2,8.4259
MRPL42,1,0.98991,0.99926,21168,0,0.010034,0.970617,498,1,8.4231
TTBK1,1,0.9895,0.99926,21161,0,0.010457,0.970617,512,1,8.4134
TCP11X2,3,0.46562,0.996322,9054,1,0.0010435,0.956958,17,2,8.4064
USP35,1,0.98879,0.99926,21145,0,0.011183,0.970617,544,1,8.3951
KCNK17,1,0.98837,0.99926,21134,0,0.011587,0.970617,575,1,8.3838
PNKD,2,0.99862,0.999829,21343,0,0.0026594,0.956958,71,2,8.3623
ADCY1,1,0.98643,0.999165,21096,0,0.013486,0.972353,664,1,8.3389
hsa-mir-124-2,2,0.9997,0.999904,21366,0,0.00058071,0.956958,15,2,8.3358
ENDOD1,3,0.93491,0.996362,20053,0,0.0016268,0.956958,27,2,8.3345
PCDHA7,1,0.98572,0.999165,21077,0,0.014162,0.972765,703,1,8.3197
ITGB7,1,0.98545,0.999165,21070,0,0.014442,0.972765,721,1,8.3092
CYP3A7-CYP3AP1,1,0.98496,0.999165,21064,0,0.01495,0.972765,743,1,8.288
DOK5,1,0.9837,0.998901,21047,0,0.016244,0.972765,798,1,8.2432
TMEM240,3,0.99934,0.999829,21359,0,0.0019089,0.956958,35,3,8.2337
GNPAT,3,0.4532,0.996322,8832,1,0.002431,0.956958,44,2,8.205
SCN11A,2,0.9975,0.999632,21324,0,0.0047728,0.956958,122,2,8.1979
MS4A2,3,0.95607,0.997574,20463,0,0.002481,0.956958,45,2,8.1953
MYO9A,3,0.98202,0.998847,21011,0,0.0025241,0.956958,47,3,8.1887
PLA2R1,3,0.88048,0.996322,18811,0,0.0025853,0.956958,49,2,8.1806
ZNF684,3,0.41948,0.996322,8227,1,0.0026172,0.956958,50,2,8.1756
KRTAP10-12,1,0.98228,0.998901,21015,0,0.017749,0.972765,864,1,8.1624
TBCK,2,0.99946,0.999829,21362,0,0.0010463,0.956958,25,2,8.0989
AP4E1,1,0.98136,0.998797,20999,0,0.018634,0.972765,897,1,8.0926
CCDC91,3,0.55359,0.996322,10853,1,0.0029777,0.956958,55,2,8.0874
ERCC1,2,0.99901,0.999829,21351,0,0.0018709,0.956958,52,2,8.0821
CDK5R1,1,0.98087,0.998643,20992,0,0.019122,0.972765,914,1,8.068
ZNF524,3,0.63662,0.996322,13182,1,0.0031217,0.956958,57,2,8.0429
TNFRSF1A,3,0.9976,0.999632,21326,0,0.0033506,0.956958,60,3,8.0303
SLCO4C1,2,0.99776,0.999632,21331,0,0.0042984,0.956958,110,2,8.0241
ZNF284,1,0.97974,0.998361,20972,0,0.020284,0.972765,961,1,8.0211
C11orf88,3,0.60922,0.996322,12468,1,0.0035139,0.956958,63,2,8.0138
LOC100130451,3,0.99892,0.999829,21350,0,0.0031023,0.956958,56,3,8.0064
SLC17A9,3,0.99947,0.999829,21364,0,0.0015235,0.956958,22,3,7.9934
C2orf80,3,0.46781,0.996322,9079,1,0.0038426,0.956958,69,2,7.9859
MMP21,3,0.9945,0.999457,21263,0,0.0038986,0.956958,72,3,7.9821
C22orf23,3,0.96343,0.997574,20617,0,0.0039834,0.956958,74,2,7.9783
PDCD7,3,0.15292,0.982693,2859,1,0.0042012,0.956958,79,2,7.9689
DVL3,3,0.88749,0.996322,18981,0,0.0043448,0.956958,81,2,7.9651
SNX4,3,0.66825,0.996322,13945,1,0.0010741,0.956958,18,2,7.9651
HIST1H2BI,1,0.97684,0.998121,20916,0,0.023125,0.972765,1074,1,7.9593
CPEB4,3,0.99932,0.999829,21358,0,0.001964,0.956958,36,3,7.9555
hsa-mir-613,3,0.50135,0.996322,9693,1,0.0046427,0.956958,85,2,7.9536
ZNF281,2,0.9961,0.999471,21301,0,0.007514,0.970617,185,2,7.9523
POLR2L,1,0.97591,0.998121,20890,0,0.024024,0.972765,1119,1,7.9478
UBE2A,2,0.99916,0.999829,21354,0,0.0016092,0.956958,42,2,7.9449
TRPV4,3,0.29345,0.996322,5965,1,0.0049558,0.966452,93,2,7.944
POTEI,1,0.9755,0.998121,20880,0,0.02441,0.972765,1139,1,7.942
GPR149,3,0.95186,0.997574,20376,0,0.0052162,0.970617,95,2,7.9362
KIAA1462,3,0.61686,0.996322,12668,1,0.0052653,0.970617,97,2,7.9343
SLC38A10,3,0.92837,0.996322,19902,0,0.0055284,0.970617,98,2,7.9265
KPNB1,1,0.97404,0.998121,20851,0,0.025925,0.972765,1194,1,7.9245
COMMD4,3,0.74822,0.996322,15926,1,0.0057383,0.970617,101,2,7.9206
hsa-mir-1246,3,0.9976,0.999632,21327,0,0.005792,0.970617,103,3,7.9186
FGFR4,3,0.99947,0.999829,21363,0,0.0015235,0.956958,23,3,7.9127
CT47B1,2,0.9983,0.99982,21340,0,0.0032459,0.956958,88,2,7.9108
FAM200A,1,0.97278,0.998121,20821,0,0.02716,0.972765,1243,1,7.9107
PACRGL,1,0.97238,0.998121,20817,0,0.027571,0.972765,1261,1,7.9068
SMIM20,1,0.97222,0.998121,20813,0,0.027726,0.972765,1267,1,7.9048
WWTR1,3,0.7886,0.996322,16852,1,0.0064221,0.970617,115,2,7.9028
CIT,3,0.93062,0.996322,19955,0,0.0065337,0.970617,118,2,7.9008
PKLR,3,0.69373,0.996322,14575,1,0.0068937,0.970617,125,2,7.8928
TMEFF2,1,0.97006,0.998121,20767,0,0.029958,0.972765,1348,1,7.8848
SUCLG2,3,0.23226,0.991964,4611,1,0.0074663,0.970617,134,2,7.8827
hsa-mir-4261,3,0.86647,0.996322,18510,0,0.0075742,0.970617,136,2,7.8807
SPATA6,1,0.96965,0.998121,20760,0,0.030318,0.972765,1364,1,7.8807
B4GALNT4,3,0.99576,0.999463,21288,0,0.0077211,0.970617,139,3,7.8787
NR4A2,3,0.56469,0.996322,11172,1,0.0078489,0.970617,143,2,7.8767
CCAR1,1,0.9683,0.997574,20744,0,0.031733,0.972765,1407,1,7.8706
FUT1,3,0.99867,0.999829,21345,0,0.0038092,0.956958,67,3,7.8686
PRICKLE2,1,0.96803,0.997574,20733,0,0.032023,0.972765,1424,1,7.8686
SPANXN4,1,0.96803,0.997574,20734,0,0.032023,0.972765,1423,1,7.8686
C20orf195,2,0.99883,0.999829,21348,0,0.0022397,0.956958,59,2,7.8644
ARL17B,1,0.96708,0.997574,20711,0,0.032991,0.972765,1453,1,7.8604
HHATL,1,0.96676,0.997574,20704,0,0.033341,0.972765,1467,1,7.8563
SLC41A3,3,0.9951,0.999463,21273,0,0.0091929,0.970617,161,3,7.8542
YIF1B,1,0.96635,0.997574,20697,0,0.033759,0.972765,1473,1,7.8522
RBFOX1,3,0.96232,0.997574,20592,0,0.0094171,0.970617,164,2,7.8501
SFRP4,3,0.98891,0.99926,21146,0,0.0094171,0.970617,163,3,7.8501
hsa-mir-578,3,0.58001,0.996322,11641,1,0.0097205,0.970617,167,2,7.846
PXDN,1,0.9653,0.997574,20669,0,0.034845,0.972765,1500,1,7.8439
GOLGA6L6,1,0.96503,0.997574,20658,0,0.035091,0.972765,1512,1,7.8418
EIF4G1,1,0.9647,0.997574,20652,0,0.035398,0.972765,1518,1,7.8377
GADL1,3,0.75328,0.996322,16035,1,0.010188,0.970617,177,2,7.8377
CLDND2,3,0.63662,0.996322,13174,1,0.010386,0.970617,180,2,7.8335
PRRG3,3,0.53747,0.996322,10443,1,0.0081802,0.970617,145,2,7.8314
PSMB2,3,0.96646,0.997574,20702,0,0.010496,0.970617,182,2,7.8314
KLRC4-KLRK1,1,0.9639,0.997574,20628,0,0.036185,0.972765,1548,1,7.8293
HIST1H3E,3,0.93347,0.996322,20022,0,0.01081,0.970617,188,2,7.8272
SYT6,3,0.99986,0.999904,21370,0,0.00040606,0.892574,8,3,7.8272
ACE2,3,0.81791,0.996322,17486,0,0.011005,0.970617,192,2,7.8251
HIST1H3C,3,0.8693,0.996322,18570,0,0.011161,0.970617,195,2,7.823
LY75-CD302,1,0.96301,0.997574,20607,0,0.03709,0.972765,1569,1,7.823
TACC1,3,0.99832,0.99982,21339,0,0.0047877,0.956958,89,3,7.8209
KIAA1704,2,0.99746,0.999632,21321,0,0.0048358,0.956958,127,2,7.8179
PCBD1,3,0.97629,0.998121,20898,0,0.011552,0.970617,201,3,7.8146
PREPL,3,0.67352,0.996322,14071,1,0.011552,0.970617,202,2,7.8146
SMAD7,1,0.96212,0.997574,20586,0,0.038003,0.972765,1596,1,7.8125
ALX3,3,0.99684,0.999632,21310,0,0.0088964,0.970617,155,3,7.8104
CCNI2,3,0.54722,0.996322,10670,1,0.011884,0.970617,212,2,7.8104
