Supplementary Table 6. Normalized screen data and DeSEQ2 output. ,,,,,,,,,,,,,,
Gene,baseMean1,Log2_FC1,pval1,baseMean2,Log2_FC2,pval2,baseMean3,Log2_FC3,pval3,chi,combined_p,combined_q,Meidan_Log2_FC,Combined_mean_Log2_FC
MSH2,957.2566405,5.67843972,1.83e-11,1975.317814,5.116799119,1.77e-11,1072.351948,4.822651573,2.38e-07,187,1.1e-37,1.83e-33,5.11679911917568,5.25058214863253
MLH1,1825.532851,3.686081025,7.95e-08,581.8766207,3.253182804,0.000102254,67.24306563,2.459707092,0.01856056,85.2,3e-16,4.97e-12,3.25318280400865,3.21759138327125
FAM89B,34.07272074,0.309519502,1,35.94595749,-4.138685456,2.42e-06,418.9378725,3.69554062,5.49e-07,78.9,6.03e-15,9.98e-11,0.309519502289633,2.2481295828933
XPC,242.0108639,3.590859153,0.000204781,510.0933263,2.508409082,0.004336734,3303.070108,3.92785658,1.8e-06,78.4,7.64e-15,1.27e-10,3.59085915261611,3.45762272302659
PMS2,185.5368054,1.833034834,0.053103685,38.94761474,0.3171524,0.74264162,2553.802775,4.296609819,2.46e-10,73.2,9e-14,1.49e-09,1.83303483405184,3.02743733911321
LIMS2,673.1455423,1.858821731,0.027029046,590.5748256,3.328626576,1.08e-05,16.50084367,-3.849897954,0.000112886,69.6,4.94e-13,8.18e-09,1.85882173062717,2.19566302306935
ANGPTL7,96.50486054,2.140099218,0.017934723,345.7182685,2.322203294,0.01669946,44.92332293,-4.145266276,5.96e-07,64.8,4.74e-12,7.85e-08,2.14009921801679,1.65769956156555
PDCD5,254.7913874,2.575088681,0.008850105,36.63127137,-4.261644214,3.52e-07,277.6747389,1.705177402,0.080823638,63.8,7.58e-12,1.26e-07,1.70517740226895,1.62790249697668
KLHL41,43.48558655,-4.264110805,7.93e-07,24.21294152,-0.848017794,0.360969876,259.2117599,2.760069874,0.000859159,63.8,7.58e-12,1.26e-07,-0.848017793818098,1.29902629084657
FAM160B2,33.4266231,-3.866731696,1.01e-05,196.4507306,1.315616048,0.079719968,25.99329837,-3.370750659,0.000327088,63.6,8.33e-12,1.38e-07,-3.37075065869997,-0.176627300675778
MRPL12,153.1249391,1.99018968,0.007424221,32.25899759,-3.88457372,1.33e-05,367.3377292,2.647231493,0.004258228,62.3,1.53e-11,2.54e-07,1.9901896795245,1.78034338162125
ENDOU,319.5268455,3.073525687,7.9e-05,22.7842638,-2.698909209,0.007108012,22.97014899,-2.846259367,0.000819842,62,1.76e-11,2.92e-07,-2.69890920861666,1.53793328514792
