id,negative selection score,negative selection p-value,negative selection rank
GLIS1,2.6779e-05,0.00014369,1
CNTRL,2.9913e-05,0.00015625,2
EFNB2,4.0944e-05,0.0002065,3
CCDC54,6.045e-05,0.00027821,4
RGAG4,8.0334e-05,0.00036929,5
PGLYRP4,0.0001245,0.0005771,6
PSMC3,0.00013389,0.0006195,7
ZNF207,0.00016831,0.00078883,8
GLTSCR1L,0.00018744,0.00087808,9
SLC2A1,0.00018895,0.00088384,10
NFXL1,0.00024099,0.001099,11
ZNF230,0.00028191,0.0012937,12
NABP1,0.00029,0.001333,13
LIMS2,0.00029453,0.0013502,14
BRD7,0.00032842,0.0015005,15
ERBB3,0.00033399,0.0015313,16
IKBKG,0.0003411,0.0015664,17
ZMAT2,0.00034808,0.0015936,18
CNIH3,0.00039934,0.001825,19
SYT12,0.00040162,0.0018328,20
RPUSD4,0.00045516,0.00206,21
THRB,0.00050869,0.0022851,22
DAOA,0.00051895,0.0023333,23
CD8A,0.00056223,0.0025254,24
PRIMA1,0.0005908,0.0026515,25
C11orf68,0.00061576,0.0027515,26
SETD4,0.00062608,0.0027845,27
NR3C2,0.00066126,0.0028949,28
ABHD16B,0.00066929,0.0029253,29
PCID2,0.00070303,0.0030399,30
OR8G2,0.00072282,0.0031059,31
SMARCD3,0.00077634,0.0032791,32
TRNT1,0.00082986,0.0034608,33
C18orf21,0.00084823,0.0035356,34
EDC4,0.00086,0.0035738,35
PTCHD3,0.00088338,0.0036623,36
TRPT1,0.0008902,0.00369,37
FUT10,0.00089465,0.0037005,38
CDK9,0.00093412,0.0038293,39
SCLY,0.0009369,0.0038366,40
WNT4,0.00099041,0.0040229,41
UTF1,0.0010207,0.0041308,42
SYT5,0.0010408,0.0042004,43
ZNF268,0.0010439,0.0042114,44
ORC3,0.0010666,0.0042726,45
MAGI3,0.00108,0.0043213,46
FCRL6,0.0010974,0.0043747,47
FAM24A,0.0010996,0.0043805,48
CAPN7,0.0011202,0.0044548,49
LIN54,0.0011509,0.0045548,50
C16orf59,0.0011844,0.0046532,51
NDUFV3,0.0011984,0.0047092,52
SYN2,0.0012045,0.0047291,53
GPER,0.0012195,0.0047715,54
CRYGC,0.0012281,0.0047945,55
ASTL,0.0012479,0.0048704,56
USP4,0.001258,0.0049055,57
PVRIG,0.0012719,0.0049479,58
COL14A1,0.0012746,0.0049536,59
ERI3,0.0012837,0.0049819,60
KCNA5,0.0012958,0.0050175,61
POMP,0.0013033,0.0050416,62
NKG7,0.0013115,0.0050636,63
TMEM86A,0.0013137,0.0050698,64
TRIM3,0.0013508,0.0051845,65
TAS2R60,0.001365,0.0052305,66
STOML3,0.0014184,0.0054069,67
MAD2L2,0.0014341,0.0054624,68
TXNL1,0.0014461,0.0055085,69
TMED1,0.0014533,0.0055279,70
ARL14EPL,0.0014719,0.0055886,71
CCDC86,0.0014817,0.0056263,72
GNAS,0.00149,0.0056561,73
FAM47E-STBD1,0.001508,0.002896,74
LOC554223,0.0015254,0.0057807,75
FAM174A,0.0015789,0.0059571,76
LRRC15,0.0016222,0.0060953,77
MB21D2,0.0016324,0.0061324,78
ATP2C1,0.0016552,0.0062178,79
FAM105B,0.001678,0.0062926,80
KRT5,0.0016821,0.0063041,81
KDM1A,0.0016859,0.0063151,82
PUM2,0.0017224,0.0064266,83
ZNF79,0.0017237,0.0064313,84
AKR1A1,0.0017517,0.0065292,85
GNPNAT1,0.0017929,0.0066784,86
LRRC27,0.0017994,0.0067046,87
FUBP3,0.0018197,0.0067669,88
GATAD2B,0.0018399,0.0068365,89
TBC1D21,0.0018427,0.0068443,90
OR2L5,0.0018463,0.006859,91
CHRFAM7A,0.0018774,0.0069647,92
TAMM41,0.0018804,0.0069757,93
TMEM116,0.0018998,0.0070417,94
TRAM1L1,0.0019533,0.0072296,95
NTSR2,0.0019721,0.0072992,96
WDR83,0.0020067,0.0074165,97
URB2,0.0020179,0.0074494,98
TGIF2,0.0020315,0.0075012,99
NFKBIA,0.0020326,0.0075039,100
ZCCHC18,0.0020602,0.0075892,101
LOH12CR1,0.0020927,0.0076939,102
LOC100288332,0.0021628,0.0077064,103
RAPSN,0.0021663,0.007942,104
OGN,0.0021671,0.0079441,105
CADM4,0.0022206,0.0081221,106
PRY2,0.0022393,0.0043585,107
NKAIN4,0.0022418,0.0081859,108
TMCO2,0.0022423,0.008188,109
OR51M1,0.0022462,0.0081995,110
RIMBP2,0.0022704,0.0082814,111
SSX5,0.0022741,0.0082943,112
GATA2,0.002289,0.0083435,113
PRR11,0.0023275,0.0084654,114
SLFN5,0.002381,0.0086445,115
DYRK2,0.0023828,0.0086476,116
MLL2,0.0023878,0.0067103,117
DCAF10,0.0024344,0.0088334,118
GLRA1,0.0024842,0.0090062,119
SLC38A10,0.0024879,0.0090145,120
BDKRB1,0.002493,0.0090329,121
TRIP12,0.0025413,0.0091915,122
POLR2C,0.0025861,0.009359,123
HAGH,0.0026167,0.0094537,124
LGR6,0.0026482,0.0095647,125
RCC1,0.0026544,0.0095851,126
SPATA31A2,0.0026574,0.0077467,127
CSN3,0.002675,0.0096531,128
TRIM42,0.0026785,0.0096636,129
TAF1C,0.0027016,0.0097458,130
PCGF1,0.0027082,0.0097709,131
ATN1,0.0027369,0.009862,132
SLC25A34,0.0027479,0.009895,133
POGLUT1,0.0027551,0.009917,134
MPP1,0.0027671,0.0099557,135
HMX1,0.0027809,0.0099991,136
SST,0.0028041,0.010076,137
TICAM2,0.0028085,0.010093,138
RAB17,0.0028619,0.010254,139
KDM4E,0.0028779,0.010304,140
TTLL2,0.0029154,0.010423,141
ESPL1,0.0029471,0.010545,142
GINS2,0.0029688,0.010614,143
TUFT1,0.0030122,0.010751,144
WDR54,0.0030177,0.010768,145
AANAT,0.0030222,0.010782,146
RASL12,0.0030305,0.010807,147
KCNAB2,0.0030756,0.010965,148
CAPS,0.0031133,0.01108,149
SRRD,0.0031338,0.011145,150
GPR146,0.0031378,0.011158,151
TNFAIP8L1,0.0031436,0.011177,152
ITPR3,0.0031761,0.011278,153
FAM208B,0.0031825,0.011296,154
TSC2,0.0032199,0.011415,155
PRDM13,0.0032359,0.011464,156
TMEM159,0.0032384,0.011469,157
SIX6,0.0032501,0.011502,158
CCDC8,0.0032843,0.011602,159
OR9I1,0.0032866,0.01161,160
FNDC3A,0.0032893,0.011616,161
DCDC1,0.0033235,0.011736,162
TEX9,0.0033339,0.011774,163
PDZD8,0.0033413,0.011804,164
C17orf59,0.0033427,0.011809,165
TSPO2,0.0033711,0.011902,166
P4HA3,0.0033845,0.011939,167
FOXN1,0.0033961,0.011976,168
ELSPBP1,0.0034057,0.012008,169
PRKG2,0.0034101,0.012023,170
PGF,0.0034495,0.012157,171
VPS28,0.0034732,0.012242,172
CTHRC1,0.0035021,0.012337,173
C16orf71,0.0035029,0.012337,174
HSPA12B,0.0035065,0.01235,175
HYLS1,0.0035321,0.012435,176
TSC22D1,0.0035343,0.012442,177
RAPGEF3,0.0035563,0.012518,178
ACMSD,0.0036014,0.012668,179
PFKFB4,0.0036097,0.012693,180
PPAP2C,0.0036138,0.012704,181
C4B,0.0036553,0.0035901,182
ID2,0.0036631,0.012853,183
METTL14,0.0036859,0.01293,184
HLA-DPB1,0.0036954,0.012964,185
CSGALNACT1,0.0037165,0.013036,186
NYX,0.0037682,0.013209,187
GBP6,0.0037699,0.013215,188
ABCG4,0.0038185,0.013367,189
CABLES2,0.0038233,0.013384,190
SVIL,0.0038767,0.013556,191
BSPRY,0.0039051,0.013656,192
SGK110,0.0039282,0.013727,193
WFIKKN1,0.0039288,0.01373,194
ACSS3,0.0039301,0.013735,195
MPZL2,0.0039593,0.01384,196
PPP2R5A,0.0039693,0.013868,197
TMCC3,0.0039911,0.013932,198
TPH1,0.003993,0.013938,199
PRR14L,0.0040325,0.014065,200
MOXD1,0.0040368,0.014076,201
C10orf55,0.0040627,0.014158,202
IMPACT,0.0040902,0.014245,203
SLC35E2B,0.0041303,0.011591,204
ATP6V0D1,0.0041436,0.01441,205
SLC35A3,0.0041548,0.014446,206
BAZ1B,0.0041745,0.0145,207
SNRNP27,0.004202,0.014585,208
CD207,0.0042101,0.014618,209
SEC14L4,0.0042106,0.014618,210
CDCP2,0.0042346,0.014694,211
POLR2J,0.0042503,0.014741,212
SYCP2,0.0042519,0.014746,213
C2CD4C,0.0042751,0.014823,214
ARHGEF18,0.0043023,0.014913,215
SERPINF1,0.0043037,0.014915,216
SMS,0.0043487,0.015055,217
LONP2,0.0043705,0.015124,218
KCNJ10,0.0043836,0.015159,219
TMEM173,0.0044104,0.01524,220
