"Supplemental Table S0. Genome-wide Etoposide score (etoposide vs. vehicle controls) and essential score (vehicle control vs. day 0 replicates) at day 4 (early), day 12 (intermediate), and day 18 (late) using MAGeCK-RRA",,,,,,,,,,,,
Gene,Day4.Etop.Score,Day4.Etop.FDR,Day4.Ess.Score,Day4.Ess.FDR,Day12.Etop.Score,Day12.Etop.FDR,Day12.Ess.Score,Day12.Ess.FDR,Day18.Etop.Score,Day18.Etop.FDR,Day18.Ess.Score,Day18.Ess.FDR
A1BG,-0.982757915452354,0.972306,0.20568,0.853545,1.7519285990808,0.752928,-1.7533,0.099903,-1.33446591156667,0.933154,-0.036103,1
A1CF,0.341254264638847,1,0.092881,1,-0.483398528473466,1,0.08054,1,1.19622888552981,0.960285,0.22909,1
A2M,-0.621456752838356,0.998435,0.1778,0.970935,-0.715817505363098,1,0.56573,0.82638,1.07435277487943,0.979498,0.18195,0.97963
A2ML1,0.726373793727041,1,-0.10209,0.999976,0.3131939780091,1,0.16833,1,-0.995205889611288,0.978192,0.13114,1
A3GALT2,-1.3992121814927,0.944459,0.10088,0.807535,-1.35563035163587,0.953337,-0.09529,0.891131,-1.68468053474125,0.878414,0.25796,0.934135
A4GALT,-0.118409943696597,1,-0.27607,0.970014,-0.185785710336726,1,-0.11946,1,-1.06614842205704,0.971275,0.10813,0.988299
A4GNT,-0.591098917645857,1,0.099189,1,1.14783730360741,0.97735,-0.26982,1,0.322557307344802,1,-0.13242,1
AAAS,0.544820024454471,1,-0.04374,0.999976,0.443685435664653,1,0.27547,1,1.91058948901646,0.77001,-0.11169,1
AACS,-0.994219100045348,0.970031,-0.14916,0.999976,-0.602651033823409,1,0.54512,0.774026,2.27302841631712,0.63101,0.54893,0.391172
AADAC,0.174580373976987,1,0.50781,0.730943,0.309608974372288,1,-0.24307,1,0.762984371254838,1,0.27836,0.977553
AADACL2,-0.693146251306991,0.991511,0.51071,0.760785,2.2833123467846,0.580687,-1.2596,0.854309,0.590421892711362,1,0.31219,1
AADACL3,0.217448550655899,1,-0.18926,0.999976,0.424973890576739,1,-0.60243,0.940962,0.756664251440125,1,-0.45525,1
AADACL4,0.749287313540815,1,-0.13463,0.999976,-0.881900687922005,1,-0.1805,1,-0.291698100957114,1,-0.22242,1
AADAT,-1.28997576844674,0.949586,0.11234,1,0.801287942539599,1,0.23763,1,1.85502126197997,0.787545,-0.25633,1
PRXL2C,-0.963131670018945,0.976843,0.25869,0.915174,0.138608983754384,1,0.68647,0.646625,0.471327498398706,1,0.44374,0.820288
AAGAB,-0.928117992693875,0.983519,-0.58591,0.232968,-1.19079729419529,0.96239,-0.90299,0.660665,1.11356003948703,0.972098,-1.5818,0.188757
AAK1,-1.87739097642401,0.877781,0.17795,0.96675,-0.542224041669241,1,-0.3664,1,-0.777413576609611,1,-0.64327,1
AAMDC,0.0611401773239269,1,0.10323,1,-0.877423724942813,1,0.68258,0.643089,-0.557520230935551,1,0.29132,0.930328
AAMP,4.5394780070998,0.025781,-0.64996,0.225222,2.4211087661109,0.532897,-1.8849,0.320612,1.56568663847503,0.893854,-2.3644,0.036907
AANAT,-0.25084364598862,1,0.088038,1,0.620930280207254,1,-0.37305,0.561604,0.0903156268239193,1,-0.062937,1
