id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
HPRT1,6,0.99989,0.99991,1,20371,0,2.5776,3.2452e-21,2.4189e-07,0.00019,1,6,2.5776
SLC43A3,6,0.99996,0.99997,1,20395,0,1.6773,2.0736e-17,2.4189e-07,0.00019,2,6,1.6773
NUDT5,6,1,1,1,20466,0,1.7439,3.4419e-17,2.4189e-07,0.00019,3,6,1.7439
CSTF3,6,1,1,1,20465,0,0.99532,1.1683e-12,2.4189e-07,0.00019,4,6,0.99532
EIF2B3,6,1,1,1,20464,0,1.0834,1.3033e-12,2.4189e-07,0.00019,5,6,1.0834
GMPPB,6,0.99964,0.99964,1,20324,0,1.3734,8.241e-12,2.4189e-07,0.00019,6,6,1.3734
ATAD3A,6,0.91954,0.91961,1,18324,0,1.0824,1.0243e-11,2.4189e-07,0.00019,7,5,1.0824
ROMO1,6,1,1,1,20463,0,1.3279,2.6608e-11,2.4189e-07,0.00019,8,6,1.3279
EIF2B2,6,0.99995,0.99996,1,20392,0,1.446,7.0301e-11,2.4189e-07,0.00019,9,6,1.446
MIOS,6,1,1,1,20428,0,1.0697,2.0997e-10,2.4189e-07,0.00019,10,6,1.0697
DCAF7,6,1,1,1,20462,0,1.042,2.4678e-10,2.4189e-07,0.00019,11,6,1.042
MTOR,6,0.99921,0.99922,1,20278,0,0.96389,2.6211e-10,2.4189e-07,0.00019,12,6,0.96389
KARS,6,0.99666,0.99661,1,20170,0,1.0923,3.5686e-10,2.4189e-07,0.00019,13,5,1.0923
EIF3I,6,1,1,1,20439,0,1.4172,4.952e-10,2.4189e-07,0.00019,14,6,1.4172
PMAIP1,6,1,1,1,20450,0,0.73665,1.9029e-09,2.4189e-07,0.00019,15,6,0.73665
EIF2S3,6,1,1,1,20430,0,1.343,1.9289e-09,2.4189e-07,0.00019,16,6,1.343
NAA10,6,1,1,1,20461,0,0.92794,1.9557e-09,2.4189e-07,0.00019,17,6,0.92794
HARS,6,1,1,1,20447,0,1.405,2.0023e-09,2.4189e-07,0.00019,18,6,1.405
CRLS1,6,0.99681,0.99676,1,20177,0,0.89528,2.2558e-09,2.4189e-07,0.00019,19,5,0.89528
SARS,6,0.99988,0.99989,1,20367,0,0.93319,2.6591e-09,2.4189e-07,0.00019,20,6,0.93319
ENY2,6,1,1,1,20460,0,0.56476,3.0762e-09,2.4189e-07,0.00019,21,6,0.56476
CMIP,6,1,1,1,20456,0,0.59032,4.2868e-09,2.4189e-07,0.00019,22,6,0.59032
NARS,6,0.99976,0.99977,1,20343,0,0.87608,4.3992e-09,2.4189e-07,0.00019,23,6,0.87608
GARS,6,0.98738,0.98736,1,19868,0,0.96495,4.76e-09,2.4189e-07,0.00019,24,4,0.96495
BRF1,6,1,1,1,20455,0,1.0832,6.0537e-09,2.4189e-07,0.00019,25,6,1.0832
