id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
DCK,6,1,1,1,20466,0,3.3873,1.1002e-22,2.4189e-07,0.000177,1,6,3.3873
SLC29A1,6,1,1,1,20462,0,3.2527,4.7006e-15,2.4189e-07,0.000177,2,6,3.2527
NOP16,6,1,1,1,20465,0,1.5237,8.6231e-13,2.4189e-07,0.000177,3,6,1.5237
IARS2,6,1,1,1,20464,0,1.7807,2.1605e-12,2.4189e-07,0.000177,4,6,1.7807
FARSA,6,1,1,1,20463,0,1.2936,1.5707e-11,2.4189e-07,0.000177,5,6,1.2936
EIF2S3,6,1,1,1,20461,0,1.3894,5.0349e-11,2.4189e-07,0.000177,6,6,1.3894
HSPE1,5,1,1,1,20460,0,1.3416,7.9797e-11,2.4189e-07,0.000177,7,5,1.3416
TRMT112,6,1,1,1,20459,0,1.8207,8.008e-11,2.4189e-07,0.000177,8,6,1.8207
PELO,6,1,1,1,20458,0,1.2798,8.7076e-11,2.4189e-07,0.000177,9,6,1.2798
IMPDH2,6,1,1,1,20457,0,1.5845,9.6066e-11,2.4189e-07,0.000177,10,6,1.5845
GABPA,6,0.99997,0.99997,1,20381,0,1.1152,1.8664e-10,2.4189e-07,0.000177,11,6,1.1152
DHDDS,6,1,1,1,20456,0,1.3537,3.5412e-10,2.4189e-07,0.000177,12,6,1.3537
EIF2B2,6,1,1,1,20434,0,1.4533,3.6023e-10,2.4189e-07,0.000177,13,6,1.4533
HARS,6,1,1,1,20451,0,1.2442,7.6324e-10,2.4189e-07,0.000177,14,6,1.2442
DDX27,6,1,1,1,20441,0,1.056,1.3636e-09,2.4189e-07,0.000177,15,6,1.056
UTP14A,6,1,1,1,20455,0,1.1058,1.6927e-09,2.4189e-07,0.000177,16,6,1.1058
RNMT,6,0.99999,1,1,20409,0,1.4056,1.7229e-09,2.4189e-07,0.000177,17,6,1.4056
MDN1,6,1,1,1,20430,0,1.2808,1.9551e-09,2.4189e-07,0.000177,18,6,1.2808
PHB2,6,1,1,1,20432,0,1.4055,1.9617e-09,2.4189e-07,0.000177,19,6,1.4055
GMPPB,6,1,1,1,20444,0,1.2676,1.9684e-09,2.4189e-07,0.000177,20,6,1.2676
EIF3I,6,0.99909,0.99907,1,20249,0,1.6798,3.2177e-09,2.4189e-07,0.000177,21,5,1.6798
CSTF3,6,1,1,1,20454,0,0.84797,3.2592e-09,2.4189e-07,0.000177,22,6,0.84797
RIOK1,6,0.99999,0.99999,1,20406,0,1.5158,3.8003e-09,2.4189e-07,0.000177,23,6,1.5158
NOC4L,6,1,1,1,20453,0,1.3331,4.2724e-09,2.4189e-07,0.000177,24,6,1.3331
GNL3,6,1,1,1,20452,0,1.1836,6.3319e-09,2.4189e-07,0.000177,25,6,1.1836
CRCP,6,1,1,1,20450,0,1.2237,7.4343e-09,2.4189e-07,0.000177,26,6,1.2237
YARS,6,1,1,1,20427,0,2.0743,7.8947e-09,2.4189e-07,0.000177,27,6,2.0743
DIMT1,6,0.99609,0.99605,1,20093,0,0.92302,8.4441e-09,2.4189e-07,0.000177,28,5,0.92302
HEATR3,6,1,1,1,20422,0,1.2209,1.1026e-08,4.8378e-07,0.00033,29,6,1.2209
PMPCA,6,1,1,1,20449,0,1.4317,1.1667e-08,7.2567e-07,0.00033,30,6,1.4317
LONP1,6,0.97415,0.97416,1,19465,0,1.5901,1.2681e-08,7.2567e-07,0.00033,31,5,1.5901
FPGS,6,0.99998,0.99998,1,20392,0,0.93371,1.2844e-08,7.2567e-07,0.00033,32,6,0.93371
ATAD3A,6,0.99951,0.99948,1,20292,0,1.0839,2.0624e-08,7.2567e-07,0.00033,33,6,1.0839
VPRBP,6,0.99948,0.99946,1,20284,0,1.0922,2.2417e-08,7.2567e-07,0.00033,34,6,1.0922
HINFP,6,0.99999,0.99999,1,20405,0,0.90766,3.2086e-08,7.2567e-07,0.00033,35,6,0.90766
PAICS,6,1,1,1,20440,0,1.3874,3.7398e-08,7.2567e-07,0.00033,36,6,1.3874
DHX9,6,1,1,1,20448,0,0.63845,3.9616e-08,7.2567e-07,0.00033,37,6,0.63845
EIF3D,6,1,1,1,20447,0,0.63207,4.0855e-08,7.2567e-07,0.00033,38,6,0.63207
ACSL4,6,0.92032,0.92043,1,18245,0,1.0488,4.1313e-08,7.2567e-07,0.00033,39,5,1.0488
