id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
HINFP,6,1,1,1,20466,0,1.8969,5.9965e-16,2.4189e-07,0.000248,1,6,1.8969
TOP2B,6,0.95021,0.95021,1,18965,0,2.4823,4.504e-13,2.4189e-07,0.000248,2,5,2.4823
CSTF3,6,1,1,1,20465,0,1.1544,3.9642e-12,2.4189e-07,0.000248,3,6,1.1544
CRCP,6,1,1,1,20463,0,1.6789,2.6661e-11,2.4189e-07,0.000248,4,6,1.6789
IARS2,6,1,1,1,20464,0,1.5182,4.2423e-11,2.4189e-07,0.000248,5,6,1.5182
VPRBP,6,0.99982,0.99983,1,20364,0,1.1907,1.1185e-10,2.4189e-07,0.000248,6,6,1.1907
NOP16,6,1,1,1,20462,0,1.3466,1.2664e-10,2.4189e-07,0.000248,7,6,1.3466
CSNK2B,6,0.90558,0.90562,1,18017,0,1.3907,1.3191e-10,2.4189e-07,0.000248,8,5,1.3907
TP53,6,0.86402,0.86389,1,17166,0,0.93208,6.3852e-10,2.4189e-07,0.000248,9,5,0.93208
DHDDS,6,1,1,1,20454,0,0.94588,6.6039e-10,2.4189e-07,0.000248,10,6,0.94588
PELO,6,1,1,1,20461,0,1.0417,8.5167e-10,2.4189e-07,0.000248,11,6,1.0417
IMPDH2,6,0.99975,0.99974,1,20349,0,1.34,1.5079e-09,2.4189e-07,0.000248,12,6,1.34
LIPT1,6,1,1,1,20460,0,1.072,1.5096e-09,2.4189e-07,0.000248,13,6,1.072
FPGS,6,1,1,1,20459,0,1.1032,1.6086e-09,2.4189e-07,0.000248,14,6,1.1032
PAICS,6,0.99993,0.99994,1,20390,0,1.4079,1.6456e-09,2.4189e-07,0.000248,15,6,1.4079
CPSF6,6,1,1,1,20442,0,1.1604,2.1612e-09,2.4189e-07,0.000248,16,6,1.1604
UBTF,6,0.49734,0.61935,1,12281,1,0.92891,2.7272e-09,2.4189e-07,0.000248,17,5,0.92891
PCBP2,6,1,1,1,20458,0,0.79285,2.747e-09,2.4189e-07,0.000248,18,6,0.79285
POLR1C,6,1,1,1,20457,0,0.67085,2.9981e-09,2.4189e-07,0.000248,19,6,0.67085
GNL3,6,1,1,1,20439,0,1.0993,5.2824e-09,2.4189e-07,0.000248,20,6,1.0993
TAF10,6,0.9999,0.9999,1,20377,0,0.75914,9.2139e-09,4.8378e-07,0.000354,21,6,0.75914
SFSWAP,6,1,1,1,20441,0,0.94611,1.0511e-08,4.8378e-07,0.000354,22,6,0.94611
SMS,6,1,1,1,20456,0,0.66983,1.4821e-08,7.2567e-07,0.000354,23,6,0.66983
PMPCA,6,1,1,1,20455,0,1.0476,1.4945e-08,7.2567e-07,0.000354,24,6,1.0476
HNRNPM,6,0.8897,0.88954,1,17684,0,0.96421,1.6119e-08,7.2567e-07,0.000354,25,5,0.96421
EIF2B2,6,0.99785,0.99786,1,20194,0,1.141,1.6385e-08,7.2567e-07,0.000354,26,5,1.141
ACSL4,6,0.9556,0.95549,1,19087,0,1.0271,2.4948e-08,7.2567e-07,0.000354,27,5,1.0271
NUDT21,6,0.99519,0.99515,1,20075,0,1.2403,2.6746e-08,7.2567e-07,0.000354,28,5,1.2403
NAA10,6,0.93425,0.93433,1,18634,0,1.1679,2.8609e-08,7.2567e-07,0.000354,29,5,1.1679
BRF1,6,1,1,1,20446,0,1.6622,3.1463e-08,7.2567e-07,0.000354,30,6,1.6622
ENO1,6,1,1,1,20453,0,0.67125,3.7398e-08,7.2567e-07,0.000354,31,6,0.67125
UBE2N,6,1,1,1,20452,0,0.89292,4.1505e-08,7.2567e-07,0.000354,32,6,0.89292
NASP,6,1,1,1,20445,0,0.59202,4.2619e-08,7.2567e-07,0.000354,33,6,0.59202
ROMO1,6,0.84556,0.84537,1,16814,0,1.0911,4.3713e-08,7.2567e-07,0.000354,34,5,1.0911
NMNAT1,6,0.96672,0.96665,1,19351,0,1.128,4.4545e-08,7.2567e-07,0.000354,35,5,1.128
CINP,6,1,1,1,20451,0,0.5294,4.9743e-08,7.2567e-07,0.000354,36,6,0.5294
METTL14,6,1,1,1,20450,0,0.70644,5.2025e-08,7.2567e-07,0.000354,37,6,0.70644
FARSA,6,1,1,1,20449,0,1.1478,5.4712e-08,7.2567e-07,0.000354,38,6,1.1478
DDX27,6,0.99997,0.99998,1,20401,0,0.80216,5.4794e-08,7.2567e-07,0.000354,39,6,0.80216
ADSL,6,0.61522,0.67678,1,13397,1,0.82124,6.0399e-08,7.2567e-07,0.000354,40,5,0.82124
PGP,6,1,1,1,20443,0,0.87905,6.6343e-08,7.2567e-07,0.000354,41,6,0.87905
RRP9,6,1,1,1,20448,0,0.74683,6.768e-08,7.2567e-07,0.000354,42,6,0.74683
ERCC2,6,0.50759,0.62392,1,12363,1,0.9393,7.6104e-08,9.6755e-07,0.000461,43,4,0.9393
GMPPB,6,1,1,1,20447,0,1.0443,9.1619e-08,1.2094e-06,0.000527,44,6,1.0443
UBE2K,6,0.99726,0.99722,1,20157,0,0.72946,1.0268e-07,1.2094e-06,0.000527,45,4,0.72946
ATP2A2,6,1,1,1,20444,0,1.0058,1.3116e-07,1.2094e-06,0.000527,46,6,1.0058
TIMM13,6,0.20999,0.36073,1,7297,1,1.1307,1.3517e-07,1.2094e-06,0.000527,47,5,1.1307
MTOR,6,0.99997,0.99997,1,20397,0,0.95825,1.5251e-07,1.9351e-06,0.000768,48,6,0.95825
DHODH,6,0.43285,0.56344,1,11253,1,1.5282,1.5303e-07,2.177e-06,0.000768,49,5,1.5282
UQCRC1,6,0.99939,0.99938,1,20313,0,0.81999,1.6307e-07,2.177e-06,0.000768,50,5,0.81999
