id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
DHODH,6,0.98227,0.98211,1,19328,0,2.9941,1.09e-11,2.42e-07,0.00016,1,5,2.9941
G6PD,6,1,1,1,20466,0,1.7795,1.37e-11,2.42e-07,0.00016,2,6,1.7795
CAD,6,1,1,1,20465,0,1.8716,1.42e-11,2.42e-07,0.00016,3,6,1.8716
PMPCA,6,1,1,1,20464,0,1.4795,2.08e-11,2.42e-07,0.00016,4,6,1.4795
IMPDH2,6,1,1,1,20463,0,1.6361,6.2e-11,2.42e-07,0.00016,5,6,1.6361
NAA10,6,0.99587,0.99585,1,19801,0,2.9033,6.45e-11,2.42e-07,0.00016,6,5,2.9033
GMPPB,6,1,1,1,20462,0,2.1461,6.46e-11,2.42e-07,0.00016,7,6,2.1461
COQ2,6,1,1,1,20461,0,1.642,2.75e-10,2.42e-07,0.00016,8,6,1.642
EIF2S3,6,0.99999,0.99999,1,20315,0,2.5704,2.95e-10,2.42e-07,0.00016,9,6,2.5704
FPGS,6,1,1,1,20460,0,1.7745,3.82e-10,2.42e-07,0.00016,10,6,1.7745
MTOR,6,1,1,1,20459,0,1.544,5.78e-10,2.42e-07,0.00016,11,6,1.544
AIFM1,6,1,1,1,20458,0,1.1627,6.21e-10,2.42e-07,0.00016,12,6,1.1627
NOP16,6,1,1,1,20457,0,1.4548,8.13e-10,2.42e-07,0.00016,13,6,1.4548
ATP2A2,6,0.99895,0.99894,1,20026,0,1.7668,8.68e-10,2.42e-07,0.00016,14,5,1.7668
IARS2,6,1,1,1,20456,0,1.9053,1.13e-09,2.42e-07,0.00016,15,6,1.9053
HARS,6,1,1,1,20455,0,1.6246,1.25e-09,2.42e-07,0.00016,16,6,1.6246
SHQ1,6,1,1,1,20454,0,1.404,1.26e-09,2.42e-07,0.00016,17,6,1.404
RICTOR,6,0.75277,0.7712,1,15024,1,2.2269,1.28e-09,2.42e-07,0.00016,18,5,2.2269
CDK9,6,1,1,1,20453,0,1.6759,1.32e-09,2.42e-07,0.00016,19,6,1.6759
GTF3C4,6,1,1,1,20452,0,1.4233,1.54e-09,2.42e-07,0.00016,20,6,1.4233
RFC5,6,1,1,1,20451,0,1.4896,1.87e-09,2.42e-07,0.00016,21,6,1.4896
DHDDS,6,0.74257,0.76423,1,14872,1,1.4638,1.92e-09,2.42e-07,0.00016,22,5,1.4638
EIF3H,6,1,1,1,20450,0,1.1373,2.05e-09,2.42e-07,0.00016,23,6,1.1373
EIF2B3,6,1,1,1,20449,0,1.6507,2.77e-09,2.42e-07,0.00016,24,6,1.6507
UBE2N,6,1,1,1,20447,0,1.3076,3.46e-09,2.42e-07,0.00016,25,6,1.3076
TMA16,6,1,1,1,20448,0,1.2203,3.62e-09,2.42e-07,0.00016,26,6,1.2203
LONP1,6,0.99987,0.99988,1,20202,0,2.5527,3.68e-09,2.42e-07,0.00016,27,6,2.5527
TARDBP,6,1,1,1,20446,0,1.0201,4.82e-09,2.42e-07,0.00016,28,6,1.0201
RABGGTB,6,0.9813,0.98115,1,19302,0,2.1,5.64e-09,2.42e-07,0.00016,29,5,2.1
CRCP,6,1,1,1,20445,0,2.4771,8.54e-09,2.42e-07,0.00016,30,6,2.4771
RNMT,6,1,1,1,20416,0,2.4694,9.1e-09,2.42e-07,0.00016,31,6,2.4694
EXOSC2,6,1,1,1,20444,0,1.1459,1.1e-08,4.84e-07,0.000256,32,6,1.1459
SCO2,6,0.99998,0.99999,1,20305,0,1.7158,1.16e-08,7.26e-07,0.000256,33,6,1.7158
ENO1,6,1,1,1,20443,0,1.6521,1.29e-08,7.26e-07,0.000256,34,6,1.6521
PRPF38B,6,0.66022,0.71472,1,13980,1,1.8536,1.29e-08,7.26e-07,0.000256,35,5,1.8536
TRAPPC2,6,1,1,1,20442,0,0.94227,1.37e-08,7.26e-07,0.000256,36,6,0.94227
POLR3A,6,1,1,1,20415,0,1.3845,1.81e-08,7.26e-07,0.000256,37,6,1.3845
GTF2A2,6,0.12226,0.24787,0.956804,5289,1,1.5632,1.83e-08,7.26e-07,0.000256,38,5,1.5632
SLC25A19,6,0.99993,0.99994,1,20236,0,1.5322,1.85e-08,7.26e-07,0.000256,39,6,1.5322
BRF1,6,1,1,1,20429,0,2.3161,1.88e-08,7.26e-07,0.000256,40,6,2.3161
FAM50A,6,1,1,1,20428,0,1.3557,1.9e-08,7.26e-07,0.000256,41,6,1.3557
NMNAT1,6,0.93645,0.93668,1,18254,0,2.3201,2e-08,7.26e-07,0.000256,42,5,2.3201
SLC16A1,6,1,1,1,20409,0,1.2337,2.09e-08,7.26e-07,0.000256,43,6,1.2337
METTL14,6,1,1,1,20441,0,1.1755,2.31e-08,7.26e-07,0.000256,44,6,1.1755
DDX55,6,0.98754,0.98738,1,19482,0,1.3109,2.47e-08,7.26e-07,0.000256,45,5,1.3109
TBCA,6,1,1,1,20440,0,1.3005,2.68e-08,7.26e-07,0.000256,46,6,1.3005
UBE2I,6,1,1,1,20439,0,1.3469,2.86e-08,7.26e-07,0.000256,47,6,1.3469
LIPT1,6,1,1,1,20397,0,1.3924,2.88e-08,7.26e-07,0.000256,48,6,1.3924
DMAP1,6,1,1,1,20438,0,1.3572,3.16e-08,7.26e-07,0.000256,49,6,1.3572
HSPE1,5,0.97893,0.97883,1,19241,0,2.4752,3.2e-08,7.26e-07,0.000256,50,4,2.4752
DHX33,6,1,1,1,20437,0,2.016,3.38e-08,7.26e-07,0.000256,51,6,2.016
SMU1,6,0.99998,0.99999,1,20300,0,1.37,3.41e-08,7.26e-07,0.000256,52,6,1.37
SFSWAP,6,1,1,1,20436,0,1.0834,3.53e-08,7.26e-07,0.000256,53,6,1.0834
MED14,6,1,1,1,20435,0,0.98178,3.91e-08,7.26e-07,0.000256,54,6,0.98178
VPRBP,6,0.99957,0.99957,1,20116,0,1.2549,4.43e-08,7.26e-07,0.000256,55,6,1.2549
DDX46,6,0.99892,0.99892,1,20021,0,1.1563,4.52e-08,7.26e-07,0.000256,56,5,1.1563
PSMG4,6,0.99927,0.99926,1,20065,0,1.936,4.74e-08,7.26e-07,0.000256,57,5,1.936
RPS15A,6,1,1,1,20434,0,1.1153,4.76e-08,7.26e-07,0.000256,58,6,1.1153
EIF1AX,6,1,1,1,20433,0,1.7633,5.66e-08,1.21e-06,0.000344,59,6,1.7633
MLST8,6,0.9989,0.9989,1,20019,0,1.9414,5.75e-08,1.21e-06,0.000344,60,5,1.9414
TUT1,6,1,1,1,20432,0,1.2292,5.79e-08,1.21e-06,0.000344,61,6,1.2292
TARS2,6,1,1,1,20379,0,1.2132,6.49e-08,1.21e-06,0.000344,62,6,1.2132
FARSA,6,1,1,1,20424,0,1.6697,6.56e-08,1.21e-06,0.000344,63,6,1.6697
DHX15,6,1,1,1,20431,0,1.9497,6.6e-08,1.21e-06,0.000344,64,6,1.9497
