id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
TP53,6,1,1,1,20466,0,2.1621,1.7926e-19,2.4189e-07,0.00033,1,6,2.1621
HEATR3,6,1,1,1,20460,0,1.2388,3.7987e-12,2.4189e-07,0.00033,2,6,1.2388
KAT5,6,0.57038,0.71191,1,14108,1,1.2079,5.6488e-12,2.4189e-07,0.00033,3,5,1.2079
HNRNPM,6,0.90892,0.91167,1,18329,1,1.0584,8.3701e-11,2.4189e-07,0.00033,4,5,1.0584
PMAIP1,6,1,1,1,20465,0,0.84946,8.5806e-11,2.4189e-07,0.00033,5,6,0.84946
ACSL4,6,0.98696,0.98692,1,20020,0,1.4665,1.2569e-10,2.4189e-07,0.00033,6,5,1.4665
EPC2,6,1,1,1,20463,0,1.058,1.7193e-10,2.4189e-07,0.00033,7,6,1.058
FLCN,6,0.99998,0.99998,1,20447,0,1.2395,2.0997e-10,2.4189e-07,0.00033,8,6,1.2395
RPL11,6,0.98995,0.98995,1,20106,0,1.5546,3.5135e-10,2.4189e-07,0.00033,9,5,1.5546
EBF1,6,0.17108,0.3484,1,6924,1,0.84909,7.2146e-10,2.4189e-07,0.00033,10,3,0.84909
DCAF7,6,1,1,1,20464,0,0.94364,1.0376e-09,2.4189e-07,0.00033,11,6,0.94364
ETNK1,6,1,1,1,20454,0,0.72631,2.439e-09,2.4189e-07,0.00033,12,6,0.72631
FPGS,6,1,1,1,20462,0,0.83571,2.4754e-09,2.4189e-07,0.00033,13,6,0.83571
BAZ1B,6,0.96176,0.96176,1,19441,0,0.72191,7.0401e-09,2.4189e-07,0.00033,14,5,0.72191
TADA3,6,0.99988,0.99989,1,20436,0,0.84095,7.2114e-09,2.4189e-07,0.00033,15,6,0.84095
PIK3CD,6,1,1,1,20461,0,1.0006,1.0655e-08,4.8378e-07,0.000619,16,6,1.0006
MTOR,6,0.9934,0.99341,1,20195,0,0.77225,1.2873e-08,7.2567e-07,0.000743,17,5,0.77225
EP400,6,0.99998,0.99998,1,20450,0,1.2904,1.8131e-08,7.2567e-07,0.000743,18,6,1.2904
RICTOR,6,0.9967,0.99671,1,20302,0,1.1541,1.8986e-08,7.2567e-07,0.000743,19,5,1.1541
LPCAT1,6,0.90263,0.90673,1,18217,1,0.80827,2.453e-08,7.2567e-07,0.000743,20,5,0.80827
CDS2,6,0.9444,0.9446,1,19043,0,0.83297,5.6227e-08,1.2094e-06,0.001076,21,5,0.83297
YEATS2,6,1,1,1,20459,0,0.83242,5.8751e-08,1.2094e-06,0.001076,22,6,0.83242
IKZF1,6,0.99984,0.99985,1,20433,0,0.93249,8.0469e-08,1.2094e-06,0.001076,23,6,0.93249
RPS19,6,0.93149,0.93175,1,18762,1,1.141,1.4047e-07,1.6932e-06,0.001195,24,5,1.141
SMARCA5,6,0.99975,0.99975,1,20419,0,0.96427,1.8405e-07,1.6932e-06,0.001195,25,6,0.96427
TPT1,6,1,1,1,20458,0,0.54053,1.9495e-07,1.6932e-06,0.001195,26,6,0.54053
AHCY,6,0.94087,0.94112,1,18948,0,0.78952,2.1489e-07,1.6932e-06,0.001195,27,5,0.78952
EIF3I,6,0.99873,0.99875,1,20376,0,1.0112,2.2253e-07,1.6932e-06,0.001195,28,5,1.0112
MTHFD1,6,1,1,1,20456,0,0.83594,2.2259e-07,1.6932e-06,0.001195,29,6,0.83594
TP53BP1,6,0.99999,0.99999,1,20451,0,0.5779,3.9784e-07,2.6608e-06,0.001815,30,6,0.5779
NSUN2,6,0.068691,0.17996,1,3612,1,0.69532,4.8751e-07,3.1446e-06,0.002011,31,5,0.69532
VPRBP,6,1,1,1,20457,0,0.57706,4.9177e-07,3.1446e-06,0.002011,32,6,0.57706
SLC2A1,6,0.90788,0.91082,1,18308,1,0.73019,5.0056e-07,3.6283e-06,0.002184,33,4,0.73019
CHEK2,6,0.14642,0.31894,1,6337,2,0.76967,5.3649e-07,3.6283e-06,0.002184,34,4,0.76967
DHODH,6,0.91669,0.91817,1,18470,1,0.74916,9.3118e-07,4.5959e-06,0.002687,35,5,0.74916
MAPKAP1,6,1,1,1,20453,0,0.8344,1.0329e-06,5.0797e-06,0.002888,36,6,0.8344
TRRAP,4,1,1,1,20455,0,0.98547,1.2634e-06,6.531e-06,0.003517,37,4,0.98547
EIF2S3,6,0.99588,0.99593,1,20270,0,1.0817,1.2811e-06,6.531e-06,0.003517,38,5,1.0817
SRP54,6,0.67031,0.78294,1,15558,1,0.67969,1.4255e-06,7.4986e-06,0.003935,39,5,0.67969
MYC,6,0.9759,0.97581,1,19774,0,0.71645,1.7662e-06,9.4337e-06,0.004827,40,5,0.71645
SLC7A5,6,0.9405,0.94074,1,18942,0,0.63413,1.8908e-06,9.9174e-06,0.00495,41,5,0.63413
PPAT,6,0.98111,0.98103,1,19896,0,0.7751,1.9935e-06,1.0401e-05,0.00495,42,5,0.7751
ZNF143,6,0.99959,0.99958,1,20413,0,0.46788,2.0859e-06,1.0401e-05,0.00495,43,6,0.46788
