id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
SLC19A1,6,0.97481,0.97475,1,19354,0,4.8868,6.637e-21,2.4189e-07,8e-05,1,5,4.8868
NAA60,6,0.99972,0.99973,1,20257,0,4.4439,1.0139e-17,2.4189e-07,8e-05,2,6,4.4439
PPP2CA,5,0.99927,0.99929,1,20200,0,3.2935,3.6789e-09,2.4189e-07,8e-05,45,5,3.2935
CNOT4,6,1,1,1,20405,0,3.0542,3.6357e-16,2.4189e-07,8e-05,3,6,3.0542
HNRNPM,6,0.98809,0.98801,1,19724,0,2.9752,8.8629e-13,2.4189e-07,8e-05,8,5,2.9752
CAD,6,1,1,1,20463,0,2.9751,1.8228e-12,2.4189e-07,8e-05,9,6,2.9751
hsa-mir-548ak,1,0.99557,0.99561,1,19992,0,2.9244,0.0044338,0.017554,0.337848,1063,1,2.9244
DHODH,6,0.99471,0.99473,1,19956,0,2.9139,6.6238e-11,2.4189e-07,8e-05,22,5,2.9139
hsa-mir-3669,2,0.99864,0.99868,1,20156,0,2.8685,0.0010728,0.0047761,0.134084,729,2,2.8685
NAA30,6,0.99991,0.99991,1,20319,0,2.8596,4.6508e-14,2.4189e-07,8e-05,5,6,2.8596
hsa-mir-1972-1,1,0.99215,0.9921,1,19855,0,2.824,0.0078504,0.02969,0.482793,1258,1,2.824
hsa-mir-3661,3,0.82737,0.87957,1,17249,0,2.6787,7.0367e-06,4.3298e-05,0.003836,231,2,2.6787
CMIP,6,1,1,1,20456,0,2.5951,3.8438e-12,2.4189e-07,8e-05,13,6,2.5951
TAF3,6,0.98665,0.98655,1,19689,0,2.5783,4.743e-10,2.4189e-07,8e-05,30,4,2.5783
PRKRIP1,6,0.99556,0.99561,1,19990,0,2.53,6.5754e-09,2.4189e-07,8e-05,56,5,2.53
AARS,6,0.99985,0.99986,1,20299,0,2.5,1.5817e-08,7.2567e-07,0.000181,69,6,2.5
hsa-mir-483,4,1,1,1,20409,0,2.4661,4.5321e-07,3.1446e-06,0.00046,129,4,2.4661
GTF2A2,6,0.99992,0.99992,1,20324,0,2.4642,1.236e-10,2.4189e-07,8e-05,27,6,2.4642
SRRD,6,0.9997,0.9997,1,20252,0,2.4112,2.0276e-12,2.4189e-07,8e-05,11,6,2.4112
PRPF38B,6,0.99879,0.99884,1,20161,0,2.4075,1.0926e-10,2.4189e-07,8e-05,26,5,2.4075
hsa-mir-7641-1,2,0.99947,0.99949,1,20217,0,2.3937,0.00053462,0.0026455,0.086353,627,2,2.3937
YBX1,6,1,1,1,20454,0,2.386,6.0931e-12,2.4189e-07,8e-05,15,6,2.386
PPAT,6,0.78609,0.86462,1,16923,1,2.3732,3.5508e-09,2.4189e-07,8e-05,44,5,2.3732
DHX35,6,1,1,1,20455,0,2.3555,4.0136e-11,2.4189e-07,8e-05,20,6,2.3555
CXXC1,6,1,1,1,20466,0,2.3469,6.5199e-15,2.4189e-07,8e-05,4,6,2.3469
POLE3,6,1,1,1,20464,0,2.3263,1.7533e-13,2.4189e-07,8e-05,7,6,2.3263
CCNA2,6,1,1,1,20442,0,2.3157,4.8926e-12,2.4189e-07,8e-05,14,6,2.3157
E2F1,6,1,1,1,20465,0,2.2846,1.5578e-13,2.4189e-07,8e-05,6,6,2.2846
TAF11,6,1,1,1,20428,0,2.2376,8.3829e-09,2.4189e-07,8e-05,61,6,2.2376
WDR83,6,1,1,1,20385,0,2.1757,6.453e-09,2.4189e-07,8e-05,55,6,2.1757
PPIH,6,1,1,1,20431,0,2.1708,9.7283e-10,2.4189e-07,8e-05,36,6,2.1708
PQBP1,6,1,1,1,20422,0,2.1696,1.884e-09,2.4189e-07,8e-05,39,6,2.1696
RPL4,6,0.70177,0.81251,1,15893,1,2.1541,8.3384e-09,2.4189e-07,8e-05,60,5,2.1541
hsa-mir-6859-2,2,0.98109,0.98097,1,19521,0,2.14,0.0085745,0.03198,0.500753,1307,2,2.14
ARIH1,6,0.98279,0.98267,1,19574,0,2.119,5.3237e-09,2.4189e-07,8e-05,51,5,2.119
SRSF10,6,0.99997,0.99997,1,20351,0,2.0989,9.6749e-09,4.8378e-07,0.000157,63,6,2.0989
CDK2,6,1,1,1,20445,0,2.0864,4.0497e-10,2.4189e-07,8e-05,29,6,2.0864
TIMM13,6,0.94687,0.94726,1,18697,1,2.0794,2.2125e-07,2.177e-06,0.000378,114,4,2.0794
CCDC130,6,1,1,1,20408,0,2.0557,9.6066e-11,2.4189e-07,8e-05,24,6,2.0557
SPDYE2L,2,0.99974,0.99975,1,20264,0,2.0266,0.00025921,0.0013239,0.052815,513,2,2.0266
SIVA1,6,1,1,1,20425,0,2.0092,3.8991e-09,2.4189e-07,8e-05,47,6,2.0092
hsa-mir-4419b,4,0.99824,0.9983,1,20129,0,2.0001,3.5587e-05,0.00019375,0.012083,328,4,2.0001
PHF5A,6,0.2129,0.4183,0.996674,8580,1,1.9842,1.0011e-06,4.5959e-06,0.000592,154,4,1.9842
SLC30A1,6,1,1,1,20462,0,1.973,1.8313e-12,2.4189e-07,8e-05,10,6,1.973
GNB2L1,6,1,1,1,20414,0,1.9707,7.1566e-08,1.2094e-06,0.000269,92,6,1.9707
WDR25,6,0.96007,0.95999,1,18982,0,1.9463,1.1258e-07,1.9351e-06,0.000378,102,5,1.9463
CTNNBL1,6,1,1,1,20461,0,1.9316,2.3956e-12,2.4189e-07,8e-05,12,6,1.9316
SNRPD1,6,1,1,1,20381,0,1.9113,1.4786e-07,2.177e-06,0.000378,109,6,1.9113
RPS27,6,0.99999,0.99999,1,20372,0,1.8878,2.5521e-06,1.4271e-05,0.001545,188,6,1.8878
TMEM41B,6,0.65459,0.78246,1,15298,2,1.8842,7.7341e-08,1.6932e-06,0.000343,93,4,1.8842
GMPPB,6,1,1,1,20457,0,1.8823,1.8916e-11,2.4189e-07,8e-05,19,6,1.8823
EIF2B2,6,1,1,1,20432,0,1.8804,2.872e-08,7.2567e-07,0.000181,80,6,1.8804
EP400,6,1,1,1,20446,0,1.8687,8.4882e-10,2.4189e-07,8e-05,35,6,1.8687
SMG7,6,0.97826,0.97809,1,19443,0,1.8665,1.0698e-07,1.6932e-06,0.000343,101,5,1.8665
SIN3A,6,0.99421,0.9942,1,19939,0,1.8608,1.8131e-08,7.2567e-07,0.000181,70,5,1.8608
FLCN,6,0.99327,0.99323,1,19902,0,1.8456,5.8768e-09,2.4189e-07,8e-05,54,5,1.8456
SRSF11,6,1,1,1,20420,0,1.8295,1.506e-08,7.2567e-07,0.000181,68,6,1.8295
CCNT1,6,1,1,1,20460,0,1.8284,1.301e-11,2.4189e-07,8e-05,16,6,1.8284
NCDN,6,0.99965,0.99966,1,20247,0,1.8241,1.9354e-09,2.4189e-07,8e-05,40,6,1.8241
RPL36A,2,0.99867,0.99872,1,20157,0,1.8206,0.0013332,0.0058225,0.154985,768,2,1.8206
SFSWAP,6,1,1,1,20450,0,1.8061,1.3078e-10,2.4189e-07,8e-05,28,6,1.8061
MLST8,6,0.99977,0.99978,1,20277,0,1.7831,6.0545e-08,1.2094e-06,0.000269,88,6,1.7831
