id,num,neg|score,neg|p-value,neg|fdr,neg|rank,neg|goodsgrna,neg|lfc,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna,pos|lfc
TP53,6,0.97305,0.97497,1,19574,1,0.93454,2.44e-12,2.42e-07,0.00045,1,5,0.93454
TRMT112,6,1,1,1,20458,0,0.9559,3.77e-11,2.42e-07,0.00045,2,5,0.9559
RRP9,6,1,1,1,20466,0,0.67563,4.62e-11,2.42e-07,0.00045,3,6,0.67563
CRCP,6,0.99904,0.99904,1,20295,0,0.91053,1.72e-10,2.42e-07,0.00045,4,5,0.91053
NOP16,6,1,1,1,20463,0,0.99505,1.82e-10,2.42e-07,0.00045,5,6,0.99505
LIPT1,6,1,1,1,20465,0,0.46702,5.51e-10,2.42e-07,0.00045,6,6,0.46702
MLST8,6,1,1,1,20464,0,0.6126,6.64e-10,2.42e-07,0.00045,7,6,0.6126
TP53BP1,6,0.99026,0.99021,1,19960,0,0.62782,2.04e-09,2.42e-07,0.00045,8,5,0.62782
USP36,6,1,1,1,20462,0,0.3788,6.78e-09,2.42e-07,0.00045,9,6,0.3788
EIF3I,6,0.99874,0.99872,1,20275,0,0.89706,6.8e-09,2.42e-07,0.00045,10,5,0.89706
UQCRC1,6,0.99989,0.99989,1,20385,0,0.4634,7.95e-09,2.42e-07,0.00045,11,5,0.4634
DHODH,6,0.97574,0.97689,1,19618,1,0.97316,1.4e-08,7.26e-07,0.000825,12,4,0.97316
CSNK2B,6,0.91235,0.9483,1,18923,1,0.73021,1.53e-08,7.26e-07,0.000825,13,5,0.73021
ACSL4,6,0.73722,0.86665,1,17244,1,0.71048,2.62e-08,7.26e-07,0.000825,14,4,0.71048
USP28,6,0.9989,0.99889,1,20287,0,0.59389,3.27e-08,7.26e-07,0.000825,15,5,0.59389
NAA10,6,1,1,1,20456,0,0.74754,3.37e-08,7.26e-07,0.000825,16,5,0.74754
TRAPPC11,6,0.55769,0.76267,1,15216,1,0.54597,4.47e-08,7.26e-07,0.000825,17,3,0.54597
POLR3H,6,0.99998,0.99999,1,20419,0,0.83687,5.7e-08,7.26e-07,0.000825,18,4,0.83687
IARS2,6,1,1,1,20459,0,0.68105,8.31e-08,1.21e-06,0.000917,19,5,0.68105
RIOK1,6,0.99993,0.99993,1,20391,0,0.70358,9.22e-08,1.21e-06,0.000917,20,5,0.70358
SEC61B,6,0.99953,0.99951,1,20341,0,0.4631,1.13e-07,1.21e-06,0.000917,21,5,0.4631
SPATA5L1,6,0.8377,0.91305,1,18205,1,0.45885,1.16e-07,1.21e-06,0.000917,22,5,0.45885
EMG1,6,0.9986,0.99858,1,20269,0,0.51904,1.18e-07,1.21e-06,0.000917,23,3,0.51904
CSTF3,6,1,1,1,20461,0,0.51597,1.54e-07,1.21e-06,0.000917,24,5,0.51597
LARS2,6,0.99972,0.99972,1,20361,0,0.62292,1.68e-07,1.21e-06,0.000917,25,4,0.62292
TAF10,6,0.99784,0.99783,1,20237,0,0.28147,1.82e-07,1.21e-06,0.000917,26,5,0.28147
NAA15,6,0.98419,0.98412,1,19792,1,0.48771,2.21e-07,1.21e-06,0.000917,27,5,0.48771
EIF3D,6,1,1,1,20453,0,0.34875,2.4e-07,1.69e-06,0.001083,28,5,0.34875
DBR1,6,1,1,1,20443,0,0.68401,2.46e-07,1.69e-06,0.001083,29,5,0.68401
TMEM41B,6,0.60777,0.79856,1,15938,2,0.8137,2.54e-07,1.69e-06,0.001083,30,4,0.8137
MED12,6,0.99998,0.99998,1,20415,0,0.50913,3.2e-07,1.69e-06,0.001083,31,5,0.50913
NOL9,6,0.96489,0.96992,1,19452,1,0.43258,3.45e-07,1.69e-06,0.001083,32,4,0.43258
RNMT,6,0.99999,1,1,20434,0,0.7949,4.18e-07,2.66e-06,0.00165,33,4,0.7949
EIF2B2,6,0.99999,0.99999,1,20423,0,0.45076,4.45e-07,3.14e-06,0.001694,34,5,0.45076
MEF2C,6,0.9163,0.94955,1,18944,1,0.3749,4.88e-07,3.14e-06,0.001694,35,5,0.3749
MRPL53,6,0.99993,0.99993,1,20394,0,0.30036,4.89e-07,3.14e-06,0.001694,36,5,0.30036
AASDHPPT,6,0.99938,0.99937,1,20327,0,0.42054,5.01e-07,3.14e-06,0.001694,37,5,0.42054
RABGGTB,6,0.7644,0.87835,1,17475,1,0.61902,5.05e-07,3.14e-06,0.001694,38,4,0.61902
HNRNPM,6,0.97484,0.97622,1,19606,1,0.43512,6.76e-07,3.63e-06,0.001811,39,4,0.43512
TAMM41,6,1,1,1,20460,0,0.28047,7.28e-07,3.63e-06,0.001811,40,5,0.28047
PCBP2,6,0.99795,0.99795,1,20246,0,0.44419,7.41e-07,3.63e-06,0.001811,41,4,0.44419
