GeneID,CRISPRn Viability Z score (olap and talaz screen),CRISPRn Drug Effect Z score (olap screen),CRISPRn Olaparib sgRNA Drug Effect Zcount,CRISPRn Olaparib Gene Rank,CRISPRn Drug Effect Z score (talaz screen),CRISPRn Talazoparib sgRNA Drug Effect Zcount,CRISPRn Talazoparib Gene Rank,CRISPRi Viability Z score (olap screen),CRISPRi Drug Effect Z score (olap screen),CRISPRi Olaparib sgRNA Drug Effect Zcount,CRISPRi Olaparib Gene Rank,CRISPRi Viability Z score (talaz screen),CRISPRi Drug Effect Z score (talaz screen),CRISPRi Talazoparib sgRNA Drug Effect Zcount,CRISPRi Talazoparib Gene Rank
EME1,-1.18066632086832,-5.79777277823934,2,145.0281356421,-6.88296766788751,4,92.189511686447,-1.04162440274998,-5.67188088363195,4,69.2429995486647,-1.55784195358798,-28.4590476173672,0,1.25992104989487
PSMC3IP,-0.978568839197009,-11.6888114784934,4,7.86222418262669,-13.1931800606307,4,4.48140474655716,-5.78049844148705,-9.87470478092304,5,7.73061405251592,-7.77629543970368,-28.3143829575241,3,1.81712059283214
MUS81,-1.56819104215569,-8.3983499013803,3,27.4470606881676,-9.17049683624061,3,20.8561598693187,-4.31827391718099,-9.81232958093168,5,12.2538513504568,-5.06825987036802,-24.4660198054462,1,3.30192724889463
XRCC1,-0.475994504948211,-6.83989924511046,4,57.1174351203621,-10.7341472048973,5,6.83990378670679,0.124870862776963,-3.9538092680304,1,270.776475406793,-0.166748749560336,-22.5125138292494,0,6
LIG1,-1.67118342488582,-13.2487238483912,5,7.48887238721851,-11.0493873440622,5,9.35609523735209,-1.62330129540551,-12.5744032604674,4,3.30192724889463,-1.19348469717757,-18.7400640806795,0,6.83990378670679
MND1,0.0672104603189323,-10.8408125630551,4,8.89592036227726,-11.9468931734946,4,9.16565645433022,-0.679033674929393,-6.08339655661964,4,30.8252393331191,-0.689850675697079,-18.6826230173321,0,3.91486764116886
ATM,-0.405373850677322,-9.08109109395247,5,14.5180117032475,-9.48874728913883,4,16.8122359839323,-0.140151303107688,-7.8768509915046,4,33.2379495405268,-1.66117390921076,-18.5983515285721,5,11.8547299626725
DDX11,-4.10653668133171,-4.6982542191153,2,614.752922539818,-4.11199588425053,1,523.589531023691,-3.01377263228179,-5.84624973410366,3,101.985003562286,-3.14136688482048,-18.2982090836751,1,15.810258786541
POLB,0.615427734481736,-3.4383066513885,1,820.248581189185,-11.8817722527607,4,11.9721576725838,-0.00176595568637226,-2.86840340223707,2,637.384429338122,0.0289103607248581,-17.8175094211479,0,8.96280949311433
TRAIP,-3.77465378418363,-2.76532810229783,1,1413.61075917598,-2.77420930871892,2,1234.44806646269,-8.39734548783404,-12.4171294141495,5,5.1924941018511,-10.6088671192541,-17.4829197946894,0,13.3886590016434
AUNIP,0.803927043156421,-2.13703014796798,1,1203.19191885051,-3.08965289973447,2,787.307556906553,0.161122457233085,-4.02108632017081,3,90.444712524999,-0.440131850392581,-16.4087881716726,0,12.5570723564389
CHTF18,-0.833498797220523,-2.72765585503549,1,615.330031071201,-3.77335155968364,2,144.438765895543,-3.47138346551134,-2.72830485488033,1,1011.83722587326,-2.97844767878977,-15.8870012920601,2,22.4897072263771
RAD51B,-2.25476375307269,-8.48014813424248,4,15.4612281050318,-15.9534606730248,4,2.71441761659491,-2.06219813012154,-6.63103138135787,4,61.8058442401662,-3.2770474186693,-15.5644572465159,5,11.7879413343611
RAD54L,0.69334244487057,-13.1212486447213,4,9.6905210834335,-16.7791196667423,5,1,-1.32119173680244,-4.61649249106897,4,166.958228762952,-1.73483827243046,-15.4953601559453,0,10.4920574856227
RNASEH2C,1.0362211687649,-8.01844959707798,3,43.0743261124099,-6.33404204469385,3,63.902357616879,-4.43475647496461,-5.37240420041466,3,308.384239626648,-4.73086062704802,-15.2091831315832,2,23.3823911159505
BARD1,-0.624531998113512,-8.98154045284287,4,60.7679078097687,-3.01292087687485,1,1079.28164392313,-7.24115252068767,-9.91027147134982,4,17.28694037052,-8.24007660545675,-15.0202218267055,4,16.9803694975511
PALB2,-2.13110493833914,-1.55569447277314,0,1686.8019417967,-2.6457186334735,1,936.658304883215,-7.27580435854685,-13.6328870127145,5,5.51784835276224,-9.70120459584185,-14.7758972501963,5,22.5613142436418
BRCA2,-0.885745730999749,-1.28505233132362,2,1719.81505673265,-0.816298702965424,1,2497.30054168572,-11.465981318582,-17.3775716061277,5,2,-15.896477529612,-13.9284595325387,2,36.0215919852983
H2AFX,-3.28144170654465,-6.941975651104,3,34.8790382138075,-7.79310794250355,3,24.2610393638942,-0.493207506563634,-4.96608295179803,3,101.712183625947,-1.52063485220764,-13.3398455748135,5,16.4851411992342
FAM178A,-3.2218951956708,-2.23551830308034,2,3434.22253528228,-1.78908087335828,0,981.115439971384,-5.07349002943885,-1.9766659591865,0,1905.89466086113,-7.5364513958128,-13.3349567772219,1,25.990134324013
