GeneID,LORD_MCF10ATP53/RB1mut_Olaparib_CRISPRn,LORD_MCF10ATP53mut_Olaparib_CRISPRn,LORD_MCF10A TP53mut_Talazoparib_CRISPRn,LORD_MCF10ATP53mut_Olaparib_CRISPRi,LORD_MCF10ATP53mut_Talazoparib_CRISPRi,Olivieri_RPE1_Olaparib_CRISRPn,Zimmerman_HELA_Olaparib_CRISPRn,DeWeirdt_A375_Talazoparib_CRISPRn
A1BG,0.0072091,0.3717573,0.4623897,-0.5694143,0.1544734,1.2778839,-1.1010888,-0.5029758
A1CF,-2.7335572,-0.9436333,2.0481784,0.1533515,0.6418993,-1.0936161,0.6558407,-0.3588095
A2M,0.0738308,0.5541413,0.0683911,-0.2250607,1.3635369,-0.8166494,0.8628098,0.6884674
A2ML1,1.5033446,1.1912513,0.94766,0.1072929,1.7982553,-1.0152515,0.8943272,-0.0798228
A3GALT2,0.6887889,0.1351586,-0.1016254,0.166886,0.7562855,0.2436562,,1.2573963
A4GALT,0.3519768,-0.3207256,-0.7275156,0.3642034,0.449817,0.0032903,-0.4830299,-0.2525237
A4GNT,0.1473402,1.0504848,0.9673641,1.9843873,-0.0201671,-0.9690915,-3.533877,-0.9557475
AAAS,0.1752506,0.5062682,0.0908106,1.2594682,0.5640938,0.653248,0.0103649,1.4771316
AACS,0.8785791,0.9374395,-0.1408133,-0.0700872,1.8926611,0.0333263,-0.273311,-0.3397729
AADAC,-1.4256636,-1.1358142,1.3101562,-0.0625646,0.594484,-1.1639768,0.339138,0.6805166
AADACL2,0.1926834,-0.0925573,2.527132,-1.280338,-1.2066129,-1.1256988,1.6540651,-0.2510531
AADACL3,1.6745384,-0.3894571,-0.4265924,0.5047546,0.6307986,-0.0795156,0.2629948,0.6214004
AADACL4,1.0905852,0.4844023,0.2710245,0.3161511,-0.7711261,0.828369,0.8880726,0.8813733
AADAT,2.6018019,1.6846216,0.2006596,0.3360087,0.4029092,-0.947375,-0.6741465,0.2363984
AAED1,-1.0054925,0.0241961,0.2070593,0.9568809,-0.1614757,-0.3525178,0.0833905,-0.2104509
AAGAB,-0.5358992,1.0793765,0.6368191,0.9860057,0.0462836,-1.0544584,1.8406494,2.0879609
AAK1,0.9432139,0.4901483,0.6901123,-0.5704089,-0.6966551,1.3241063,-0.0687593,-1.7084379
