GeneID,CRISPRn Viability Z-score,CRISPRn Olaparib Effect Z-score,CRISPRn Olaparib sgRNA Z-count
A1BG,-0.670949539095226,0.0944227963684928,0
A1CF,0.758921722245498,-4.03972344728084,1
A2M,-0.21371060796212,0.169043715504459,0
A2ML1,0.529894455033704,1.83532457638626,0
A3GALT2,-1.09668301945057,0.895692189469412,0
A4GALT,-0.464787146407997,0.496807501865572,0
A4GNT,-0.133819809509741,0.256893252211744,0
AAAS,0.125844047814362,0.291340917430008,0
AACS,-0.85178757787362,1.11654731980884,0
AADAC,-0.210665328116207,-1.85882231890595,1
AADACL2,-1.97761643160492,0.314348730451673,1
AADACL3,-0.380159913078626,2.04265243122431,0
AADACL4,-0.279334635877369,1.36214967550238,0
AADAT,0.0780790368575973,3.25658176361432,0
AAED1,-0.36856296666796,-1.23303037123886,1
AAGAB,-0.0873889320079893,-0.572758986230373,1
AAK1,0.352044601618211,1.19177158890208,0
AAMDC,0.321347282656231,0.475980995377467,0
AAMP,-9.10215114076234,-0.957354192260341,0
AANAT,-1.17602848800465,0.44509426038541,0
AAR2,-0.625133848143482,0.162957728532672,1
AARD,0.127803635824983,0.723246898681711,0
AARS,-14.5975666250424,-4.4641614243428,3
AARS2,-11.4022592241471,-3.04476073203489,1
AARSD1,-0.995893288738539,1.79489143185891,0
AASDH,-0.73036800821711,2.0596744135312,0
AASDHPPT,-5.58433087597273,0.493871295129025,0
AASS,-0.995386006613897,-1.73679151757617,1
AATF,-10.5665549085161,0.0172207358521406,0
AATK,-0.799594315951061,0.357618602304878,0
ABAT,1.4004799215891,-0.823775600815303,0
ABCA1,-0.131337023570823,-0.717014115833609,0
ABCA10,0.422426821084102,1.72864772100241,0
ABCA12,1.31139748869815,0.146071169143174,0
ABCA13,1.42959001434096,1.74086025763849,0
ABCA2,-0.577091414116702,0.836977551073628,0
ABCA3,0.199128482806559,0.736585021442369,0
ABCA4,0.20277943387208,0.533754860371577,0
ABCA5,1.8316542146027,0.411914964522539,0
ABCA6,0.222503324729749,1.65825198404741,0
ABCA7,0.708771829606533,-0.449809649676811,0
ABCA8,0.436180113379421,1.48604881126926,0
ABCA9,0.0749562967572046,2.39840357632649,0
ABCB1,2.94367323896381,0.756910141255323,0
ABCB10,0.88186837985132,0.194692651668559,0
ABCB11,0.0920852600299369,1.02024632470624,0
ABCB4,0.495599039404118,0.584873026129144,0
ABCB5,-0.154969700624811,-0.889670434070342,1
ABCB6,-0.198942098571424,3.32903194189222,0
ABCB7,-10.9835972130734,-1.2447590188295,1
ABCB8,-0.325534316273861,-0.492751076215219,0
ABCB9,0.340985753796176,0.026913013765272,0
ABCC1,0.393074879236949,0.751951770676502,0
ABCC10,-0.985778760074866,-0.106821944960741,0
ABCC11,1.05835925482307,-0.0913701069077008,1
ABCC12,-0.0950964818216978,0.443341589872146,0
ABCC2,-0.920518602973429,1.25119880423127,0
ABCC3,0.719004714415673,0.0483425866611736,0
ABCC4,1.64077684611981,0.164217666743767,0
ABCC5,-1.55578779011986,0.97658104602539,0
ABCC6,-0.0563166197712208,0.366839230902392,0
ABCC8,1.24192568674921,-0.896067351943814,0
ABCC9,1.01439918267849,-0.38231767060425,1
ABCD1,0.394217949894075,0.376461255236261,0
ABCD2,0.788104855718421,-0.113357485369501,0
ABCD3,0.435871031896387,0.780773384013387,0
ABCD4,0.142299525633574,1.06263688309047,1
ABCE1,-14.8123237024085,-3.58152466800904,2
ABCF1,-11.0971096413685,2.59878165296429,0
ABCF2,-1.54469458057382,-0.50356451042317,0
ABCF3,-1.34263900365624,-0.738960791322602,0
ABCG1,0.72442808167222,2.65522923261272,0
ABCG2,1.29445216293077,-0.975105837834642,0
ABCG4,1.23011408137092,0.0256138217322744,0
ABCG5,1.50255316514875,-1.07991797967367,0
ABCG8,1.30020864431291,-0.735163959491526,0
ABHD1,0.94413658230994,1.43891346506769,0
ABHD10,0.267498076908067,-2.9993693563608,2
ABHD11,-2.71315984562129,0.35334507858472,0
ABHD12,0.724933991648551,0.890375055174942,0
ABHD12B,1.59096027669626,-0.0199505726558754,0
ABHD13,-2.8601427968426,1.0467445269946,0
ABHD14A,0.0635124025976283,0.835410231011406,0
ABHD14B,0.490880560321503,0.773068214992295,0
ABHD15,-1.49957903440686,-0.867981964186836,0
ABHD16A,0.609807222248725,0.824709807828556,0
ABHD16B,1.07615221778329,-0.0560566815992472,0
ABHD17A,-0.868658543512515,-1.76218472958186,0
ABHD17B,-0.830152746903531,2.3104924786669,0
ABHD17C,0.245088720334289,0.876141051118254,0
ABHD2,0.154626019646121,0.720214045631587,0
ABHD3,-0.264784122979646,1.74122693534076,0
ABHD4,-0.246800647034589,1.94766500214651,0
ABHD5,-0.521124650925298,-0.688987422665108,0
ABHD6,-0.191999700153424,0.310712952334666,0
ABHD8,-0.124717215171373,0.486448917843279,0
ABI1,-7.54921465396645,-0.58688263401688,1
ABI2,-0.156730558762807,1.29085405159306,0
ABI3,-1.2159234620723,-0.384179262716534,0
ABI3BP,2.5100348565122,-0.180032259963928,0
ABL1,-1.3612800806012,2.00278848872597,0
ABL2,0.126498616552378,0.891747452215624,0
ABLIM1,0.968868550245146,1.88494681502557,0
ABLIM2,-0.571951651268514,1.45869787906271,0
ABLIM3,-1.60923387083584,2.03277463193686,0
ABR,-1.07491668681701,1.36134833589353,0
ABRA,0.728048264253344,0.724704595276083,1
ABRACL,-1.95308086238758,3.26213847782009,0
ABT1,-13.6102042475012,0.976603035695547,1
ABTB1,0.706389897348394,-1.05564654944053,1
ABTB2,0.102354671991641,0.55002805656999,0
ACAA1,0.962904157447743,-1.7519142024247,1
ACAA2,0.523307978225758,-1.14766366494115,1
ACACA,-8.02024462880943,-2.00460352280092,1
ACACB,-0.0193746597233535,1.91529109302739,0
ACAD10,0.668602934519764,0.00852643284675698,0
ACAD11,1.43123426863738,0.585285401777693,0
ACAD8,0.494366116357565,-0.39837585363463,0
ACAD9,-6.05335823256314,-2.83916497614292,1
ACADL,-0.738593126501136,1.72491000015127,0
ACADM,0.465101798889069,1.88194877152039,0
ACADS,0.448982709275135,0.281670229889428,0
ACADSB,-0.558557950429416,-0.129434638019561,1
ACADVL,0.0166746907817035,0.944757764019734,0
ACAN,1.17948761421867,-0.953482339421556,0
ACAP1,0.974368154759063,0.4484121917179,0
ACAP2,0.661026247996384,1.80834340259229,0
ACAP3,1.80190411344311,-1.63177444242592,0
ACAT1,0.149419786797892,-3.34514223640663,1
ACAT2,0.43241131347313,0.0430104901003671,2
ACBD3,-1.53185070594161,-0.141870604775137,0
ACBD4,-2.05813517985501,1.22548049907572,0
ACBD5,0.688760192881637,-1.52476200241671,0
ACBD6,0.329630515053795,0.175202060905661,0
ACBD7,-0.112238042787052,-1.18157590201959,2
ACCS,-0.640982381824228,0.424561187336169,0
ACCSL,-0.927071024142749,-0.802928537278913,1
ACD,-1.66137790198386,-1.08071683438347,0
ACE,-0.845463817625326,1.29769737664713,0
ACE2,1.86211967505815,1.21152828329341,0
ACER1,-0.277549617382799,0.109744627628021,0
ACER2,2.03033147456017,0.536184344206917,0
ACER3,1.01433531190055,-0.386469333619654,0
ACHE,-0.0147890932417153,1.44769503785373,0
ACIN1,-11.9121848025597,2.86144942678936,0
ACKR2,-1.6276945475691,-0.30711306522867,0
ACKR3,1.08160953144864,0.543301533654828,0
ACKR4,-1.38785875640886,2.42368672624102,0
ACLY,-2.77627059226248,-0.760886594778411,0
ACMSD,1.69928651157833,0.436093147427334,0
ACO1,0.957154165251284,1.08157295684448,0
ACO2,-7.29156542670762,0.0601582795361899,0
ACOT1,0.117181675775906,1.03588835626001,0
ACOT11,1.27571303640396,0.32443027566347,0
ACOT12,-0.903137527818837,1.76471529140169,0
ACOT13,0.569263924242492,-0.226595343771902,0
ACOT2,0.0317473963354119,0.892466964310706,0
ACOT4,0.861676260690441,0.300500425687003,0
ACOT6,0.0732138765052213,-0.334144895877361,1
ACOT7,-0.288608761242738,1.5268114495053,0
ACOT8,0.335435684830216,0.404962101416644,0
ACOT9,-1.08373141214337,1.30866856385354,0
ACOX1,-2.06988137769605,1.49115787323276,0
ACOX2,-0.117776676164303,0.895537401025312,0
